,similarity,word1,word2
0,50.0,солнце-наш,солнечный свет-наш
1,50.0,автомобильно-наука,авто-н
2,49.0,ривера-наука,вода-наш
3,49.0,лестница-наш,лестница-наш
4,49.0,утро-наш,восход-наш
5,49.0,дождь-наука,буря-наш
6,49.0,кот-наш,котенка-наш
7,49.0,танец-наш,танцор-наш
8,49.0,камеры-наш,фотография-наш
9,48.0,кот-наш,кошек-дж
10,48.0,солнечный-джей,солнце-наш
11,48.0,беременность-наш,беременных-джей
12,48.0,пляжа-наш,песчано-наш
13,48.0,пекарня-наш,хлеб-наш
14,48.0,цветок-наш,сад-наш
15,48.0,траву-наш,газон-наш
16,48.0,медно-наш,металл-наука
17,47.0,фото-наука,фотография-наш
18,47.0,кладбище-наш,погост-наш
19,47.0,надгробие-наш,погост-наш
20,47.0,солнце-наш,солнце-наш
21,47.0,черно-джей,темно-джей
22,47.0,собор-наш,церковь-наш
23,47.0,замороженные-джей,лед-наш
24,47.0,станции-наш,метро-н
25,46.0,ребёнка-наука,ребёнка-наука
26,46.0,аквариум-наука,фиш-наш
27,46.0,света-наука,освещение-наш
28,46.0,грибок-наш,мухомор-наш
29,46.0,мороз-наш,снег-наш
30,46.0,ожог-век,пламени-наш
31,46.0,океан-наш,море-наш
32,46.0,конфета-наш,шоколад-наш
33,46.0,авто-н,автомобиль-наука
34,46.0,концерт-наш,музыка-наш
35,46.0,фото-наука,рисунок-наш
36,46.0,винограда-наш,вино-наш
37,46.0,ванна-наш,ванная комната-наш
38,46.0,бутон-наш,цветок-наш
39,46.0,кот-наш,китти-наука
40,46.0,океан-наш,вода-наш
41,46.0,самогод-наука,самогод-наука
42,46.0,бабочка-наш,гусеница-наш
43,46.0,волос-наука,парик-наш
44,46.0,блоссома-наука,бутон-наш
45,46.0,шоссе-наука,дорожно-наука
46,46.0,зайчик-наука,кролик-наш
47,46.0,хлеб-наш,сэндвич-наш
48,46.0,мист-наш,мисти-джей
49,46.0,цветок-наш,лепесток-наш
50,46.0,самогод-наука,полет-наш
51,46.0,фиш-наш,рыбная ловля-наш
52,46.0,лед-наш,снег-наш
53,45.0,ярко-джей,солнце-наш
54,45.0,оттенок-наш,дерево-наука
55,45.0,велосипед-наука,велосипед-наука
56,45.0,грузовик-наш,автомобиль-наука
57,45.0,берег-наш,вода-наш
58,45.0,лодку-наш,рыбная ловля-наш
59,45.0,собака-наш,щенка-наш
60,45.0,невеста-наука,свадьба-наш
61,45.0,птица-наш,колибри-наука
62,45.0,море-наш,вода-наш
63,45.0,коровы-наш,молоко-наш
64,45.0,птица-наш,перышко-наш
65,45.0,скейт-наш,катание на коньках-наш
66,45.0,часовня-наш,церковь-наш
67,45.0,филиал-наш,прутик-наш
68,45.0,концерт-наш,музыкант-наш
69,45.0,одежда-наш,платье-наш
70,45.0,автомобильно-наука,автомобиль-наука
71,45.0,всплеск-наш,плавание-наш
72,45.0,кровать-наш,мебель-наш
73,45.0,самогод-наука,полет-наш
74,45.0,гад-наш,змея-наш
75,45.0,мотоцикл-наука,самокат-наука
76,45.0,кофе-наука,чай-наш
77,45.0,перышко-наш,гусь-наш
78,45.0,пул-наш,плавание-наш
79,45.0,глаз-наука,лицо-наш
80,45.0,грязь-наш,грязно-джей
81,45.0,железнодорожный-наш,поезд-наш
82,45.0,гавань-наш,порту-наш
83,45.0,плоды-наш,клубнично-наш
84,45.0,полет-наш,самогод-наука
85,45.0,дым-наш,курение-наш
86,45.0,плющ-наш,завода-наука
87,45.0,ривера-наука,поток-наш
88,45.0,озеро-наш,вода-наш
89,45.0,котенка-наш,китти-наука
90,45.0,снег-наш,снеговик-наш
91,45.0,собака-наш,терьер-наш
92,45.0,нарцисс-наш,цветок-наш
93,45.0,пруда-наш,вода-наш
94,44.0,шоу-наука,телевидения-наука
95,44.0,почерк-наш,записи ть
96,44.0,наводнение-наш,вода-наш
97,44.0,джаз-наш,музыкант-наш
98,44.0,орел-наш,перышко-наш
99,44.0,винограда-наш,вайна-наука
100,44.0,птица-наш,ястреб-наш
101,44.0,одежда-наш,наряд-наш
102,44.0,выставки-наш,музей-наш
103,44.0,руки-наш,палма-наука
104,44.0,могила-наш,погост-наш
105,44.0,ягодка-наш,клубнично-наш
106,44.0,фореста-наука,дуб-наш
107,44.0,вязание-наш,вязать-в
108,44.0,птица-наш,орел-наш
109,44.0,кинолог-джей,щенка-наш
110,44.0,барин-наука,коктейль-наш
111,44.0,барин-наука,паб-наш
112,44.0,солнечный свет-наш,солнце-наш
113,44.0,яблоко-наш,плоды-наш
114,44.0,солнце-наш,восход-наш
115,44.0,гимнастика-наш,спорт-наш
116,44.0,парусно-наш,судно-наш
117,44.0,пляжа-наш,море-наш
118,44.0,игры-наш,хоккей-наш
119,44.0,кровать-наш,подушка-наш
120,44.0,нарцисс-наш,тюльпан-наш
121,44.0,цветок-наш,завода-наука
122,44.0,пожарно-наш,дым-наш
123,44.0,кинолог-джей,собака-наш
124,44.0,браслет-наш,ювелирные изделия-наш
125,44.0,кошек-дж,китти-наука
126,44.0,архитектурно-наука,дометр-наука
127,44.0,магазин n,шопинга-наука
128,44.0,шоссе-наука,трафик-наш
129,44.0,лизард-наш,гад-наш
130,44.0,музыка-наш,фортепиано-наука
131,44.0,клубнично-наш,сладкий-джей
132,44.0,снег-наш,зима-наш
133,44.0,осенне-наш,весна-наш
134,44.0,бекон-наш,мясо-наш
135,44.0,малина-наш,клубнично-наш
136,44.0,бурундук-наш,белочка-наш
137,44.0,коста-наука,гавань-наш
138,44.0,платье-наш,юбка-наш
139,44.0,солнце-наш,солнечный-джей
140,44.0,лиля-наш,тюльпан-наш
141,44.0,могила-наш,надгробие-наш
142,44.0,ярко-джей,солнечный-джей
143,44.0,одуванчик-плата,завода-наука
144,44.0,света-наука,солнечный свет-наш
145,43.0,хилла-наука,горы-наш
146,43.0,бургера-наука,питание-наш
147,43.0,море-наш,берег-наш
148,43.0,перышко-наш,павлина-наука
149,43.0,ребёнка-наука,мать-наш
150,43.0,ночь-наш,закат-наука
151,43.0,оранжевый-джей,пилинга-наука
152,43.0,метро-н,поезд-наш
153,43.0,камеры-наш,объектив-наш
154,43.0,дейзи-наука,лепесток-наш
155,43.0,самогод-наука,крыло-наш
156,43.0,блум-наш,цветок-наш
157,43.0,одежда-наш,куртка-наш
158,43.0,ужин-наш,ресторана-наука
159,43.0,плавать-в,плавание-наш
160,43.0,кладбище-наш,надгробие-наш
161,43.0,сигареты-наш,дым-наш
162,43.0,рубашка-наш,юбка-наш
163,43.0,ребёнка-наука,беременных-джей
164,43.0,вишни-наш,плоды-наш
165,43.0,говядина-наш,мясо-наш
166,43.0,блоссома-наука,нарцисс-наш
167,43.0,блум-наш,блоссома-наука
168,43.0,клен-наш,дуб-наш
169,43.0,мороз-наш,зима-наш
170,43.0,цвета-наука,розовый-джей
171,43.0,собака-наш,пудель-наш
172,43.0,фонарь-наш,света-наука
173,43.0,коста-наука,море-наш
174,43.0,тоннель-наш,метро-джей
175,43.0,собака-наш,пэт-наш
176,43.0,волос-наука,стрижка-наш
177,43.0,день-наука,закат-наука
178,43.0,бикини-наука,купальник-наш
179,43.0,железнодорожные-наш,железнодорожный-наш
180,43.0,арт-н,музей-наш
181,43.0,живопись-наш,портрет-наш
182,43.0,платье-наш,свадьба-наш
183,43.0,пудель-наш,щенка-наш
184,43.0,порту-наш,судно-наш
185,43.0,блум-наш,тюльпан-наш
186,43.0,холодно-джей,зима-наш
187,43.0,пекарня-наш,торт-наш
188,43.0,дометр-наука,крыша-наш
189,43.0,утюг-наш,сталь-наш
190,43.0,птица-наш,аист-наш
191,43.0,лиля-наш,завода-наука
192,43.0,едят-в,питание-наш
193,43.0,ванная комната-наш,кухня-наш
194,43.0,джаз-наш,музыка-наш
195,43.0,ткань-наш,шерсть-наш
196,43.0,аквариум-наука,бак-наш
197,43.0,пожарно-наш,пламени-наш
198,43.0,блум-наш,роза-наш
199,43.0,лист-наш,природа-наш
200,43.0,город-наш,деревня-наука
201,43.0,яблоко-наш,оранжевый-джей
202,43.0,рассвет-наш,восход-наш
203,43.0,двигатель-наш,бензин-наш
204,43.0,дуб-наш,дерево-наука
205,43.0,гитара-наш,фортепиано-наука
206,43.0,шоколад-наш,десертные-наука
207,43.0,кот-наш,лапу-наш
208,43.0,птица-наш,гусь-наш
209,43.0,синий-джей,небо-наука
210,43.0,пул-наш,плавать-в
211,42.0,браслет-наш,колье-наука
212,42.0,плоды-наш,салат-наш
213,42.0,яично-наш,гнезда-наш
214,42.0,лодку-наш,парусно-наш
215,42.0,птица-наш,ворона-наш
216,42.0,птица-наш,фламинго-наука
217,42.0,день-наука,солнце-наш
218,42.0,хоккей-наш,спорт-наш
219,42.0,бургера-наука,едят-в
220,42.0,плоды-наш,малина-наш
221,42.0,ланч-наш,сэндвич-наш
222,42.0,ноги-наш,нолик-наш
223,42.0,ребёнка-наука,мать-наш
224,42.0,амфибия-наш,лягушка-наш
225,42.0,ожог-век,пожарно-наш
226,42.0,хоккей-наш,лед-наш
227,42.0,холодно-джей,замороженные-джей
228,42.0,дуб-наш,древесина-наш
229,42.0,фотограф-наш,фотография-наш
230,42.0,человек-наука,женщина-наш
231,42.0,волос-наука,рыженький-наш
232,42.0,гавань-наш,порту-наш
233,42.0,мопс-наш,щенка-наш
234,42.0,восход-наш,закат-наука
235,42.0,кожа-наш,обувь-наш
236,42.0,пляжа-наш,берег-наш
237,42.0,цвета-наука,красно-джей
238,42.0,краска-век,живопись-наш
239,42.0,буря-наш,ветра-наш
240,42.0,цвета-наука,фиолетово-наш
241,42.0,дождь-наука,мокрый-джей
242,42.0,динер-наш,едят-в
243,42.0,кровать-наш,спальня-наш
244,42.0,гитара-наш,музыкант-наш
245,42.0,лепесток-наш,роза-наш
246,42.0,железнодорожные-наш,метро-н
247,42.0,праздника-наука,отпуск-наш
248,42.0,кровать-наш,сон-век
249,42.0,сигареты-наш,курение-наш
250,42.0,самогод-наука,самогод-наука
251,42.0,нарцисс-наш,завода-наука
252,42.0,динер-наш,кухня-наш
253,42.0,монета-наш,серебро-наш
254,42.0,торт-наш,шоколад-наш
255,42.0,вечер-наш,ночь-наш
256,42.0,расы-наш,гонки-наш
257,42.0,полет-наш,летать-в
258,42.0,лицо-наш,губа-наш
259,42.0,ягодка-наш,малина-наш
260,42.0,лампы-наш,света-наука
261,42.0,птица-наш,гнезда-наш
262,42.0,мать-наш,беременных-джей
263,42.0,животный-наш,пэт-наш
264,42.0,бабочка-наш,насекомое-наш
265,42.0,небо-наука,восход-наш
266,42.0,кинолог-джей,хаски-наш
267,42.0,питание-наш,мясо-наш
268,42.0,облако-наш,небо-наука
269,42.0,ворона-наш,перышко-наш
270,42.0,блоссома-наука,цветок-наш
271,42.0,всплеск-наш,плавать-в
272,42.0,группа-наш,музыкант-наш
273,42.0,кактус-наш,завода-наука
274,42.0,орел-наш,ястреб-наш
275,42.0,гавань-наш,море-наш
276,42.0,цветок-наш,листва-наш
277,42.0,красно-джей,фиолетово-наш
278,42.0,музыка-наш,петя-век
279,42.0,завтрак-n,утро-наш
280,42.0,кафе-плата,ресторана-наука
281,42.0,пляжа-наш,коста-наука
282,42.0,лужа-наш,всплеск-наш
283,42.0,птица-наш,пеликан-наш
284,42.0,одежда-наш,ноский-наш
285,41.0,амфибия-наш,лизард-наш
286,41.0,дочь-наука,сын-наш
287,41.0,авто-н,мотор-наука
288,41.0,амфибия-наш,гад-наш
289,41.0,день-наука,утро-наш
290,41.0,самогод-наука,летать-в
291,41.0,самогод-наука,аэропортугальский-наш
292,41.0,метро-н,поезд-наш
293,41.0,группа-наш,музыка-наш
294,41.0,тень-наш,солнечный свет-наш
295,41.0,ночь-наш,сон-век
296,41.0,салат-наш,суп-наш
297,41.0,крыльцо-наш,крыша-наш
298,41.0,глаз-наука,разрыв-наш
299,41.0,цвета-наука,радуга-наш
300,41.0,ягодка-наш,плоды-наш
301,41.0,красно-джей,желтый-джей
302,41.0,ноский-наш,чулок-наука
303,41.0,фламинго-наука,колибри-наука
304,41.0,дерево-наука,прутик-наш
305,41.0,поцелуй-наш,губа-наш
306,41.0,бургера-наука,сэндвич-наш
