,similarity,word1,word2
0,4.0,хвастать,похвастаться
1,4.0,состряпать,разработать
2,4.0,разделить,сплит
3,4.0,построить,построить
4,4.0,конец,расторгнуть
5,4.0,подчеркнуть,выделить
6,3.833,продемонстрировать,показать
7,3.833,решить,"выяснить,"
8,3.833,потреблять,есть
9,3.833,положение,расположить
10,3.833,клясться,обет
11,3.833,представить,поставка
12,3.667,заслуга,заслуживать
13,3.667,представить,доходность
14,3.667,захватить,взять
15,3.5,спин,вертеть
16,3.5,увеличить,зыбь
17,3.5,качели,взмах
18,3.5,распространить,распространять
19,3.333,признать,признать
20,3.333,решение,поселиться
21,3.333,продлить,поддерживать
22,3.333,нажать,стук
23,3.167,блок,мешать
24,3.167,организовать,план
25,3.167,поворот,завиток
26,3.0,град,признание
27,3.0,рассеять,разогнать
28,3.0,утвердить,поддержка
29,3.0,навязывать,леви
30,2.833,спешить,ускорить
31,2.833,рэп,нажать
32,2.833,худой,остальной
33,2.833,сделать,заработать
34,2.833,показать,опубликовать
35,2.833,продать,рынок
36,2.667,плетение,переплетаться
37,2.667,обратиться,прямая
38,2.5,распространять,коммерциализироваться
39,2.5,поворот,переплетаться
40,2.5,сток,нажать
41,2.5,изобразить,признать
42,2.5,построить,организовать
43,2.333,град,адрес
44,2.167,звонить,обратиться
45,2.167,качели,отказ
46,2.0,доходность,захватить
47,2.0,сплит,давка
48,2.0,вызов,доходность
49,2.0,мешать,помочь
50,2.0,добро пожаловать,признать
51,1.8330000000000002,нужно,заслуживать
52,1.8330000000000002,обратиться,объяснить
53,1.6669999999999998,финансы,построить
54,1.6669999999999998,ожидать,заслуживать
55,1.6669999999999998,расторгнуть,отложить
56,1.6669999999999998,орать,похвастаться
57,1.6669999999999998,зыбь,завиток
58,1.5,повернуть,расположить
59,1.5,захватить,запрос
60,1.5,утвердить,презрение
61,1.5,поставка,потреблять
62,1.5,клип,поворот
63,1.3330000000000002,разделить,"выяснить,"
64,1.3330000000000002,советовать,представить
65,1.3330000000000002,жаловаться,похвастаться
66,1.3330000000000002,хотеть,заслуживать
67,1.3330000000000002,поворот,прикручивать
68,1.167,качели,авария
69,1.167,сделать,торговля
70,1.167,мешать,доходность
71,1.167,построить,предлагать
72,1.167,экспресс,"выяснить,"
73,1.167,решение,изучить
74,1.167,синяк,сплит
75,1.167,качели,сломать
76,1.0,поймать,потреблять
77,1.0,клясться,объяснить
78,1.0,запрос,леви
79,1.0,организовать,исследование
80,1.0,снять,мешать
81,1.0,двигаться,зыбь
82,0.833,плетение,печать
83,0.833,клясться,думать
84,0.833,забыть,решение
85,0.833,контролировать,состряпать
86,0.667,расположить,изолировать
87,0.667,объяснить,похвастаться
88,0.667,боль,спин
89,0.667,оценить,расторгнуть
90,0.667,признать,получиться
91,0.667,разбавить,рынок
92,0.667,спешить,разрешение
93,0.667,презрение,доходность
94,0.667,клясться,описать
95,0.667,организовать,объяснить
96,0.667,сбросить,организовать
97,0.667,список,"выяснить,"
98,0.5,штамп,плетение
99,0.5,рынок,подсластить
100,0.5,кипятить,нажать
101,0.5,поддерживать,ниже
102,0.5,решение,афишировать
103,0.5,рассеять,изолировать
104,0.5,гнев,утвердить
105,0.5,утвердить,похвастаться
106,0.5,исследование,распространять
107,0.5,запрос,состряпать
108,0.5,похвастаться,доходность
109,0.33299999999999996,представить,впечатление
110,0.33299999999999996,уточнить,поддерживать
111,0.33299999999999996,признать,распространять
112,0.33299999999999996,чистый,состряпать
113,0.33299999999999996,худой,решётка
114,0.33299999999999996,отложить,показать
115,0.33299999999999996,град,судья
116,0.33299999999999996,помнить,град
117,0.33299999999999996,скрестить,худой
118,0.33299999999999996,пот,спин
119,0.33299999999999996,выделить,восстановить
120,0.16699999999999998,захватить,обратиться
121,0.16699999999999998,леви,верить
122,0.16699999999999998,изменить,выделить
123,0.16699999999999998,обратиться,носить
124,0.16699999999999998,пустой,расположить
125,0.16699999999999998,флёша,спин
126,0.16699999999999998,встряхнуть,зыбь
127,0.16699999999999998,подражать,выделить
128,0.0,соотносить,леви
129,0.0,обратиться,худой
