,similarity,word1,word2
0,6.81,взять,удалить
1,4.81,прогулка,след
2,1.49,кормить,голодать
3,7.8,блеск,польский
4,5.98,рассчитать,добавить
5,3.65,накрутка,ябеда
6,8.96,простить,простить
7,7.97,запах,сопля
8,6.64,пахать,копать
9,1.66,верить,притворяться
10,6.97,нажать,пат
11,3.65,осуждать,убить
12,3.65,хруст,трещина
13,6.34,выветривать,уничтожить
14,4.65,попробовать,практика
15,0.66,слеза,раз
16,1.49,заменить,двигаться
17,0.83,ответить,игнорировать
18,4.48,рационализировать,спорить
19,1.99,смех,петь
20,1.66,атака,ябеда
21,3.32,спускаться,идти
22,6.14,разложить,растворить
23,0.0,мисс,поймать
24,1.99,орать,обвинять
25,7.8,чувствовать,сенсорный
26,1.49,подключить,отдельно
27,8.13,распад,ухудшаться
28,7.8,защитить,защищать
29,5.98,выпекать,жарить
30,7.47,удалить,отсоединить
31,7.97,описать,определить
32,1.49,диск,прогулка
33,4.81,построить,растить
34,8.3,распад,разложить
35,6.81,крышка,защитить
36,3.15,неприязнь,игнорировать
37,0.33,забыть,напомнить
38,7.3,понять,узнать
39,4.15,отражать,смотреть
40,8.47,поражение,бить
41,1.99,знать,сообщить
42,5.31,напомнить,повторить
43,2.82,идти,давать
44,3.82,неприязнь,откреститься
45,6.64,идти,аванс
46,5.98,производить,воспроизвести
47,4.15,рекомендовать,помочь
48,6.31,встряхнуть,дрожь
49,5.64,взять,носить
50,8.3,выполнить,получиться
51,4.98,диск,работать
52,0.66,задать,сказать
53,5.98,собрать,пожинать
54,4.65,согнуть,сломать
55,6.14,слеза,сломать
56,5.48,прыжок,пропустить
57,3.98,согласиться,признать
58,4.98,дать,принести
59,6.31,идти,двигаться
60,5.31,убить,стрелять
61,6.47,хруст,разжёвывать
62,4.98,носить,буксировать
63,5.98,петь,гул
64,6.64,тревога,расстроить
65,8.63,гнушаться,игнорировать
66,3.65,верить,знать
67,4.65,больно,разбить
68,1.0,предпочитать,ненавидеть
69,7.8,повар,выпекать
70,4.48,выговор,орать
71,8.3,сломать,уничтожить
72,7.97,нажать,шлепок
73,5.31,обертывание,галстук
74,7.64,расстроить,сорвать
75,5.64,показать,предварительный просмотр
76,2.49,обвинять,сказать
77,4.48,ненавидеть,откреститься
78,2.99,наскок,отказ
79,5.48,уважение,как
80,2.16,продать,купить
81,1.49,положить,взять
82,1.66,заряд,крышка
83,0.17,растопить,заморозить
84,1.16,согласиться,отличаться
85,2.16,лоскут,раз
86,0.15,умереть,выжить
87,2.82,тянуть,лифт
88,4.48,заминка,ездить
89,1.99,жить,давать
90,2.32,сеять,пахать
91,7.8,уничтожить,убить
92,9.3,получить,получить
93,0.0,купить,продать
94,6.47,депозит,положить
95,8.3,рост,просыпаться
96,1.83,молиться,колено
97,1.99,прыжок,лезть
98,1.16,спасение,выжить
99,6.97,получиться,преодолеть
100,8.3,смотреть,изучить
101,8.13,задержка,пауза
102,3.15,взять,использовать
103,4.48,цвета,украсить
104,6.31,получить,добиться
105,4.23,пить,опьянить
106,2.49,умереть,ухудшаться
107,4.98,лечить,купить
108,5.98,свалка,отход
109,3.65,узнать,оценить
110,2.82,знать,встретиться
111,4.98,конкурировать,отделка
112,5.58,петь,рэп
113,3.65,бить,убить
114,8.47,оттепель,растопить
115,7.8,похитить,захват
116,4.98,глотка,хлебать
117,4.32,прогулка,пробежка
118,3.49,думать,полагать
119,9.3,сказать,говорить
120,7.47,клонить,помочь
121,5.31,посмотреть,встретиться
122,7.3,предварительный просмотр,смотреть
123,0.83,забыть,распад
124,1.66,удар,пунш
125,5.15,претензия,взять
126,0.66,продать,взять
127,0.5,путать,понимать
128,7.64,хотеть,жаждать
129,1.16,травить,смотреть
130,1.66,убедить,отбить
131,1.0,приехать,отойти
132,7.14,пропустить,мисс
133,5.15,говорить,описать
134,6.31,взять,приобрести
135,7.14,выполнять,развлекать
136,4.81,протереть,мыть
137,6.97,молиться,надеяться
138,3.32,снижение,ниже
