,word1,word2,similarity
0,algodón,پلی‌ستر,3.08
1,episodio,فصل,3.54
2,escoba,خاک,1.88
3,pomo,پروتئین,0.09
4,profeta,کشیش,2.5
5,ordenador portátil,لپ‌تاپ,3.83
6,negociación,دیپلماسی,2.83
7,trabajo,ابزار,1.17
8,lago,ابر,0.96
9,mar,دلتا,2.33
10,voluntad,قصد,3.25
11,activo,موجودی کالا,2.17
12,esquí,اسنوبرد,3.21
13,poema,وزن,2.04
14,EM,اسکلروز چندگانه,4.0
15,historiador,تاریخ‌نگار,3.83
16,obra de arte,هنرمند,2.04
17,atmósfera,ازن,2.38
18,división,ضرب,3.04
19,Grand Theft Auto,جی‌تی‌ای,3.83
20,mono,کمپین,0.0
21,efectivo,پول,3.52
22,hielo,برف,3.13
23,semestre,ترم‌تحصیلی,3.38
24,río,جریان نقدی,0.13
25,planta,طبقه کارگر,1.79
26,pelota,راکت,2.13
27,espíritu,بازی‌های المپیک,0.41
28,batido,آبمیوه,2.96
29,diapositiva,اشاره‌گر,1.08
30,telescopio,طوفان فکری,0.0
31,Oscars,استادیوم,0.13
32,duna,بیابان,2.25
33,Spider-Man,خیابان,0.17
34,economía,اکوسیستم,0.88
35,manual,کتاب راهنما,3.2
36,demonio,فرشته,2.54
37,historia,مداد,0.63
38,agua de rosas,روغن گل‌سرخ,3.17
39,FMI,دویچه بانک,2.63
40,cítrico,گریپ‌فروت,3.17
41,teoría,المپیاد جهانی ریاضی,0.83
42,recesión,تولید ناخالص داخلی,1.63
43,medicamento,فایزر,2.42
44,instructor,معلم,3.92
45,pistón,موتور,2.17
46,Yahoo,جیمیل,2.83
47,tanque,خودرو,2.46
48,director,رئيس,3.5
49,marco,اصابت,0.04
50,esfera,توپ,2.67
51,cáncer de páncreas,شیمی‌درمانی,1.79
52,Europa,پیمان ماستریخت,1.75
53,suidae,گراز کوتوله,3.38
54,gráfica,گراف,3.46
55,escenario,هوی متال,1.0
56,redacción,تکلیف,2.29
57,raíz,یونیسف,0.04
58,Dickens,شکسپیر,3.0
59,jersey,پنبه,1.96
60,serpiente,مارمولک,2.81
61,apuntes,تکلیف,2.04
62,telescopio,صندلی,0.21
63,mosaico,قصر سلطنتی,1.46
64,televisión,بازیگر,1.92
65,Times,گاردین,3.08
66,criminal,خلافکار,3.75
67,monasterio,دوش,0.04
