,word1,word2,similarity
0,Joule,spacecraft,0.58
1,Promised Land,Baku,0.42
2,car,bicycle,2.83
3,polyhedron,actor,0.0
4,multiple sclerosis,MS,3.92
5,fault,system,0.58
6,weapon,helmet,1.83
7,screenwriter,television,1.67
8,United Nations,Ban Ki-moon,2.5
9,Si-o-seh pol,Mathematical Bridge,3.0
10,basilica,mosaic,1.5
11,watercolor painting,brush,2.0
12,democracy,monarchy,2.67
13,Gauss,scientist,3.0
14,tuberculosis,LED,0.0
15,self-driving car,autonomous car,4.0
16,apocalypse,fire,1.25
17,speed,post,0.25
18,PlayStation,Wii,3.25
19,laptop,notebook,4.0
20,Harry Potter,wizard,3.0
21,snowboard,skiing,3.17
22,pointer,slide,1.33
23,sensor,radiator,1.25
24,hit,frame,0.42
25,theory,hypothesis,3.83
26,Wall Street,financial market,2.92
27,Darwin,evolution,2.58
28,actor,actress,3.42
29,film,theatre,2.25
30,national anthem,patriotism,2.42
31,screen,monitor,3.92
32,dairy,honey,0.83
33,Mount Everest,Chomolungma,3.92
34,tug of war,Snakes and Ladders,2.33
35,pesticide,pest,1.83
36,policeman,politician,2.17
37,neuropsychology,parapsychology,3.17
38,battery,energy,2.83
39,Legion of Honour,stationery,0.0
40,Spider-Man,street,0.5
41,peninsula,island,3.0
42,equator,Ecuador,1.17
43,chart,graph,3.83
44,simulation,robotics,1.42
45,Nike,Adidas,3.17
46,society,culture,2.67
47,strategy game,strategy,2.0
48,church,cathedral,3.58
49,translator,foreigner,1.42
50,biotope,biology,1.92
51,magma,volcano,2.25
52,brainstorming,telescope,0.0
53,level,score,2.67
54,penny,bargain,1.42
55,political party,association,2.08
56,tsunami,sea,2.0
57,ostrich,orchard,0.42
58,cinnamon,candy,1.75
59,broom,dust,1.83
60,galaxy,astronomer,1.42
61,juice,milkshake,3.17
62,window blind,curtain,3.25
63,criminal,offender,3.5
64,pancreatic cancer,chemotherapy,1.83
65,past,antecedent,2.75
66,United Nations,European Parliament,2.75
67,song,performer,1.83
68,gun,notebook,0.0
69,acetylcholine,iris,0.58
70,alphabet,pen,0.58
71,chorus,singer,2.67
72,wood,blanket,0.5
73,soldier,peace,1.25
74,English,American,3.33
75,lizard,crocodile,3.25
76,money,cash,3.42
77,Paul the Octopus,octopus,3.5
78,calendar,holiday,2.08
79,base,chemical substance,3.0
80,government,lizard,0.0
81,JPY,money laundering,1.58
82,DeepMind,Google DeepMind,3.92
83,chess,check,1.67
84,sonnet,beauty,1.33
85,worker,office,1.75
86,currency,exchange,1.67
87,polyester,cotton,3.08
88,tribunal,justice,2.5
89,tail,rear,3.25
90,accident,book,0.0
91,squall,wind,2.75
92,piano,harmony,1.58
93,sultan,ministry,1.5
94,desert,dune,2.42
95,multiplication,division,2.67
96,virus,blood,1.58
97,ice age,statute,0.0
98,sword,environment,0.0
99,elementary school,pen,1.5
100,cricket,supporter,1.67
101,sculpture,statue,3.83
102,web browser,Mozilla Firefox,3.58
103,Fox Terrier,Canon,0.0
104,HSBC,Britain,1.67
105,Bible,Gospel,3.08
106,dress,dance,1.0
107,array,list,3.92
108,cell,lock-up,3.5
109,essay,homework,2.5
110,computer,machine,3.33
111,panda,polar bear,3.25
112,neurosis,mind,1.75
113,campaign,monkey,0.0
114,Faraday constant,rucksack,0.0
115,palace,skyscraper,2.33
116,helicopter,plane,3.0
117,University of Cambridge,Oxford University,3.25
118,flag,pole,1.42
119,window,roof,2.33
120,card game,frisbee,2.5
121,malware,worm,3.42
122,planet,star,2.58
123,runner,athlete,3.42
124,caliber,umbrella,0.0
125,WiFi,WikiLeaks,0.5
126,drought,water,2.0
127,airport,piece,0.08
128,orchestra,band,3.42
129,mojito,mohito,4.0
130,syllabus,exam,2.42
131,theorem,theory,2.42
132,yo-yo,toy,3.0
133,blizzard,rain,2.58
134,historian,historiographer,3.58
135,Siemens,electric train,1.75
136,century,year,2.83
137,alloy,steel,3.5
138,magistrate,judge,3.58
139,chaos,class,0.17
140,distance education,internet,1.75
141,sand,foot,0.42
142,IMF,Deutsche Bank,2.83
143,Guardian,Times,3.17
144,silkworm,Silk Road,0.58
145,freedom,oasis,0.58
146,cytoplasm,digit,0.67
