,word1,word2,similarity
0,team,gioco,7.59615384615
1,book,carta,8.03846153845
2,fruit,cibo,7.9615384615
3,preservation,mondo,5.1153846154
4,bishop,rabbino,8.13461538465
5,board,raccomandazione,3.51923076925
6,life,lezione,6.3269230769
7,organism,tigre,5.7115384615
8,money,banca,8.39423076923
9,clinic,psicologia,6.8846153846
10,cat,tigre,8.23076923075
11,day,estate,4.15384615385
12,noon,corda,0.4423076923
13,theater,museo,6.1730769231
14,quarrel,amante,5.96153846155
15,king,torre,6.84615384615
16,smart,stupido,6.1153846154
17,jazz,rock,6.9230769231
18,tiger,fauna,5.53846153845
19,announcement,sforzo,3.1923076923
20,drug,abuso,6.78846153845
21,psychology,mente,8.4423076923
22,street,blocco,7.3653846154
23,cup,caff,8.0192307692
24,nurse,dottore,8.2692307692
25,possibility,ragazza,3.40384615385
26,forest,legno,8.73076923075
27,record,numero,6.5576923077
28,theater,film,7.46153846155
29,sprint,maratona,5.73076923075
30,media,radio,7.86538461535
31,nature,estate,5.07692307695
32,journey,traversata,8.60384615385
33,isolation,situazione,2.67307692305
34,life,fulcro,4.84615384615
35,death,vita,7.8269230769
36,development,questione,4.59615384615
37,lobster,Pesce,8.4326923077
38,marathon,scatto,5.73076923075
39,tournament,campionato,8.2307692308
40,cash,denaro,9.25
41,production,troupe,6.03846153845
42,moon,pianeta,7.98076923075
43,monk,oracolo,4.09615384615
44,sex,fottere,9.1923076923
45,type,specie,8.96153846155
46,shower,alluvione,5.5576923077
47,sugar,approccio,1.23076923075
48,prominence,dimensione,5.67307692305
49,woman,uomo,7.67307692305
50,abuse,droga,6.78846153845
51,glass,metallo,4.4423076923
52,cognition,precedente,4.0769230769
53,investigation,sforzo,5.40384615385
54,troops,guerra,8.2692307692
55,landscape,atmospfera,4.78846153845
56,reservation,hotel,8.21923076925
57,effort,investigazione,5.40384615385
58,investigation,FBI,8.5192307692
59,rooster,viaggio,0.4807692308
60,infrastructure,ospedale,6.51923076925
61,nation,secolo,2.59615384615
62,astronomer,pianeta,7.65384615385
63,credit,carta,7.5192307692
64,wizard,mago,8.86538461535
65,hundred,percento,7.73076923075
66,fighting,sconfitta,6.1153846154
67,planet,stella,7.61538461535
68,benchmark,indice,5.25
69,index,campione,5.25
70,money,ricchezza,8.4423076923
71,closet,letto,2.58653846155
72,stock,giaguaro,0.96153846155
73,earning,investitore,6.90384615385
74,internet,computer,8.34615384615
75,stock,uovo,2.6346153846
76,psychology,depressione,7.25
77,tiger,felino,8.75
78,death,carcerato,3.76923076925
79,situation,isolamento,2.67307692305
80,mammal,tigre,8.46153846155
81,registration,sistemazione,5.1730769231
82,stock,telefono,1.65384615385
83,recess,segnale,2.01923076925
84,profit,avvertimento,1.78846153845
85,brandy,vodka,7.76923076925
86,cup,bevanda,7.6346153846
87,hospital,infrastruttura,6.51923076925
88,phone,cellulare,8.75
89,food,preparazione,6.2692307692
90,racket,tennis,9.0
91,opera,sapone,4.98076923075
92,memorabilia,esposizione,6.1730769231
93,professor,studente,7.5384615385
94,gain,relazione,3.0
95,crew,produzione,6.03846153845
96,vodka,brandy,7.76923076925
97,dollar,perdita,5.5192307692
98,precedent,cognizione,4.0769230769
99,block,strada,7.3653846154
100,psychiatry,psicologia,8.0576923077
101,holy,sesso,1.5769230769
102,psychology,ansia,7.17307692305
103,eye,pelle,5.0769230769
104,defeating,combattimento,6.1153846154
105,football,tennis,6.2692307692
106,cucumber,patata,5.46153846155
107,drink,tazza,7.6346153846
108,planet,spazio,7.9230769231
109,phone,apparecchiatura,6.8653846154
110,secret,arma,4.65384615385
111,tiger,gatto,8.23076923075
112,valor,decorazione,6.6153846154
113,lobster,cibo,8.2980769231
114,magician,stregone,8.86538461535
115,money,possesso,6.3269230769
116,environment,natura,8.76923076925
117,jaguar,gatto,7.7884615385
118,sea,Pesce,8.4903846154
119,stock,mercato,7.03846153845
120,line,assicurazione,1.5769230769
121,minority,pace,3.8461538462
122,development,popolazione,5.3076923077
123,aluminum,metallo,8.15384615385
124,health,psicologia,6.96923076925
125,constellation,pianeta,6.48076923075
126,warning,annuncio,6.48076923075
127,kind,tipo,8.96153846155
128,movie,star,7.9423076923
129,departure,schieramento,7.01923076925
130,stupid,intelligente,6.1153846154
131,feline,tigre,8.75
132,approach,zucchero,1.23076923075
133,cell,telefono,8.75
134,doctor,infermiera,8.2692307692
135,string,mezzogiorno,0.4423076923
136,avenue,strada,8.53846153845
137,space,scoperta,6.71153846155
138,seafood,cibo,8.625
139,life,morte,7.8269230769
140,law,precedente,5.82692307695
141,basketball,calcio,6.92307692305
142,doctor,personale,5.75
143,similarity,parola,2.98076923075
144,precedent,collezione,3.1153846154
145,category,lista,6.45192307695
146,importance,moralità,5.17307692305
147,psychology,scienza,6.78846153845
148,precedent,gruppo,2.34615384615
149,article,tazza,2.15384615385
150,jaguar,tigre,8.13461538465
151,possession,denaro,6.3269230769
152,planet,costellazione,6.48076923075
153,energy,crisi,4.5
154,round,gioco,5.67307692305
155,automobile,macchina,9.63461538465
156,morality,matrimonio,5.17307692305
157,market,valuta,6.67307692305
158,food,tazza,4.5192307692
159,psychology,Freud,8.2692307692
160,cucumber,professore,0.26923076925
161,announcement,avvertimento,6.48076923075
162,woodland,cimitero,1.84615384615
163,problem,sfida,7.3653846154
164,lesson,vita,6.3269230769
165,communication,telefono,8.5576923077
166,listing,categoria,6.45192307695
167,drought,estate,6.0
168,association,rivista,4.15384615385
169,eat,bere,7.5153846154
170,psychology,salute,6.96923076925
171,stock,compagnia,7.0384615385
172,equipment,telefono,6.8653846154
173,implement,attrezzo,7.79615384615
174,voyage,gallo,0.4807692308
175,museum,teatro,6.1730769231
176,water,liquido,8.6923076923
177,office,governatore,6.15384615385
178,virtuoso,concerto,6.6730769231
179,lobster,vino,3.69230769235
180,computation,calcolo,9.23076923075
181,car,aereo,5.76923076925
182,yen,dollaro,8.21153846155
183,closet,vestiti,7.53076923075
184,bread,burro,6.96153846155
