,similarity,word1,word2
0,5.88,хлюп,наглец
1,5.83,недатированный,вариант для свидание
2,5.33,обходить,бить
3,3.25,обходить,отлив
4,6.83,лишить,лишить
5,8.11,провинциализм,узколобость
6,4.5,провинциализм,пристрастность
7,3.0,инструментальность,отдел
8,7.29,инструментальность,утилит
9,6.86,участие,действие
10,4.17,участие,импликация
11,8.67,церковный,священник
12,8.17,бригадир,общий
13,5.17,углекислый,химический
14,5.17,углекислый,бумага
15,5.2,аспирата,произносить
16,2.5,аспирата,удалить
17,5.25,монотип,машина
18,7.6,несоизмеримый,несоизмеримый
19,9.33,костёр,огонь
20,9.44,знание,знать
21,5.67,процесс урбанизация,изменение
22,0.29,несовершенство,государство
23,4.4,оценка,заряд
24,5.83,оценка,анализ
25,6.4,инкубировать,порода
26,7.2,инкубировать,развивать
27,7.62,княжество,домен
28,0.12,викарный,ненормальный
29,6.5,викарный,вторичный
30,8.5,неизящный,неловко
31,5.29,неприцельный,дальтонизм
32,6.12,пообщаться,воспитывать
33,1.0,пообщаться,качели
34,7.57,диагональ,линия
35,0.11,диагональ,гетеро
36,7.75,натурализоваться,адаптировать
37,9.0,непокорный,мятежный
38,9.56,непокорный,вызывающе
39,9.5,подразделение,разделить
40,8.67,подразделение,отдельно
41,8.6,antifeminism,сексизм
42,8.0,обрезание,вырезать
43,8.17,обрезание,удалить
44,8.2,отлучать,выгнать
45,5.0,выполнить,за
46,7.5,злоумышленник,правонарушитель
47,7.38,нарушение,не согласный
48,7.0,нарушение,преступить
49,5.88,разваривать,изменение
50,7.71,болтливый,болтовня
51,8.44,перекладка,пальто
52,6.5,перекладка,поверхность
53,7.5,дружба,братство
54,7.6,одухотворённый,эмоциональный
55,7.83,курфюрст,избиратель
56,8.4,интенциональность,предназначить
57,9.62,вульгаризм,профанация
58,6.29,вульгаризм,неэлегантность
59,4.71,дописьменный,малограмотный
60,4.43,дописьменный,noncivilized
61,0.38,повторение,слушать
62,0.29,уондерерс,программа
63,9.5,уондерерс,кочевник
64,2.5,изолировать,взаимодействовать
65,9.12,гиперссылка,ссылка
66,7.17,ввести,признать
67,6.0,ввести,установить
68,8.0,улавливание,захват
69,6.57,улавливание,обмануть
70,6.0,облегчить,комфорт
71,6.0,облегчить,помочь
72,0.0,радиатор,начать
73,1.0,радиатор,система
74,2.8,постмодернизм,жанр
75,5.29,раскопка,сайт
76,7.43,раскопка,удаление
77,8.83,удобный,уютный
78,7.14,unfeathered,неоперившийся
79,8.0,unfeathered,ощипанный
80,3.8,назначить,полка
81,3.5,назначить,разрешить
82,8.14,слушатель,соглядатай
83,7.57,неожиданный,неожиданный
84,7.38,неспособность,недостаточность
85,4.33,неспособность,непонимание
86,4.5,монокультура,культура
87,5.8,триколор,флаг
88,0.86,всесилие,государство
89,1.71,смешиваться,изменение
