,similarity,word1,word2
0,0.58,джоуль,космический корабль
1,0.42,земля обетовать,баку
2,2.83,автомобиль,велосипед
3,0.0,многогранник,актёр
4,3.92,рассеянный склероз,мс
5,0.58,вино,система
6,1.83,оружие,шлем
7,1.67,сценарист,телевизор
8,2.5,организации объединенных нация,пан ги мун
9,3.0,си-о-сех полый,математический мост
10,1.5,базилик,мозаика
11,2.0,акварельная живопиться,щётка
12,2.67,демократия,монархия
13,3.0,гаусс,учёный
14,0.0,туберкулёз,светодиодный
15,4.0,самостоятельное вождение автомобиль,автономный автомобиль
16,1.25,апокалипсис,огонь
17,0.25,скорость,пост
18,3.25,игровая приставка playstation,вии
19,4.0,ноутбук,ноутбук
20,3.0,гарри поттереть,мастер
21,3.17,сноуборд,катание на лыжа
22,1.33,указатель,слайд
23,1.25,датчик,радиатор
24,0.42,нажать,рамка
25,3.83,теория,гипотеза
26,2.92,уолл-стрит,финансовый рынка
27,2.58,дарвин,эволюция
28,3.42,актёр,актриса
29,2.25,фильм,театр
30,2.42,гимн,патриотизм
31,3.92,экран,монитор
32,0.83,молочный,мёд
33,3.92,эверест,джомолунгма
34,2.33,перетягивание канат,змеи и лестница
35,1.83,пестицид,вредитель
36,2.17,полицейский,политик
37,3.17,нейропсихология,парапсихология
38,2.83,аккумулятор,энергия
39,0.0,почетного легион,канцтовары
40,0.5,человек-паук,улица
41,3.0,полуостров,остров
42,1.17,экватор,эквадор
43,3.83,график,график
44,1.42,моделирование,робототехника
45,3.17,найк,адидас
46,2.67,общество,культура
47,2.0,игры стратегия,стратегия
48,3.58,церковь,собор
49,1.42,переводчик,иностранец
50,1.92,биотоп,биология
51,2.25,магма,вулкан
52,0.0,мозговой штурм,телескоп
53,2.67,уровень,оценка
54,1.42,копейка,торг
55,2.08,политическая партия,ассоциация
56,2.0,цунами,мор
57,0.42,страусиный,сад
58,1.75,корица,конфета
59,1.83,веник,пыль
60,1.42,галактика,астроном
61,3.17,сок,молочный коктейль
62,3.25,жалюзи,занавес
63,3.5,уголовный,преступник
64,1.83,рак поджелудочной желез,химиотерапия
65,2.75,последний,антецедент
66,2.75,организации объединенных нация,европейский парламент
67,1.83,песня,исполнитель
68,0.0,пистолет,ноутбук
69,0.58,ацетилхолин,ирис
70,0.58,алфавит,ручка
71,2.67,хор,певица
