,type,word1,word2,word3,target
0,capital-common-countries,Athens,Greece,Baghdad,Iraq
1,capital-common-countries,Athens,Greece,Bangkok,Thailand
2,capital-common-countries,Athens,Greece,Beijing,China
3,capital-common-countries,Athens,Greece,Berlin,Germany
4,capital-common-countries,Athens,Greece,Bern,Switzerland
5,capital-common-countries,Athens,Greece,Cairo,Egypt
6,capital-common-countries,Athens,Greece,Canberra,Australia
7,capital-common-countries,Athens,Greece,Hanoi,Vietnam
8,capital-common-countries,Athens,Greece,Havana,Cuba
9,capital-common-countries,Athens,Greece,Helsinki,Finland
10,capital-common-countries,Athens,Greece,Islamabad,Pakistan
11,capital-common-countries,Athens,Greece,Kabul,Afghanistan
12,capital-common-countries,Athens,Greece,London,England
13,capital-common-countries,Athens,Greece,Madrid,Spain
14,capital-common-countries,Athens,Greece,Moscow,Russia
15,capital-common-countries,Athens,Greece,Oslo,Norway
16,capital-common-countries,Athens,Greece,Ottawa,Canada
17,capital-common-countries,Athens,Greece,Paris,France
18,capital-common-countries,Athens,Greece,Rome,Italy
19,capital-common-countries,Athens,Greece,Stockholm,Sweden
20,capital-common-countries,Athens,Greece,Tehran,Iran
21,capital-common-countries,Athens,Greece,Tokyo,Japan
22,capital-common-countries,Baghdad,Iraq,Bangkok,Thailand
23,capital-common-countries,Baghdad,Iraq,Beijing,China
24,capital-common-countries,Baghdad,Iraq,Berlin,Germany
25,capital-common-countries,Baghdad,Iraq,Bern,Switzerland
26,capital-common-countries,Baghdad,Iraq,Cairo,Egypt
27,capital-common-countries,Baghdad,Iraq,Canberra,Australia
28,capital-common-countries,Baghdad,Iraq,Hanoi,Vietnam
29,capital-common-countries,Baghdad,Iraq,Havana,Cuba
30,capital-common-countries,Baghdad,Iraq,Helsinki,Finland
31,capital-common-countries,Baghdad,Iraq,Islamabad,Pakistan
32,capital-common-countries,Baghdad,Iraq,Kabul,Afghanistan
33,capital-common-countries,Baghdad,Iraq,London,England
34,capital-common-countries,Baghdad,Iraq,Madrid,Spain
35,capital-common-countries,Baghdad,Iraq,Moscow,Russia
36,capital-common-countries,Baghdad,Iraq,Oslo,Norway
37,capital-common-countries,Baghdad,Iraq,Ottawa,Canada
38,capital-common-countries,Baghdad,Iraq,Paris,France
39,capital-common-countries,Baghdad,Iraq,Rome,Italy
40,capital-common-countries,Baghdad,Iraq,Stockholm,Sweden
41,capital-common-countries,Baghdad,Iraq,Tehran,Iran
42,capital-common-countries,Baghdad,Iraq,Tokyo,Japan
43,capital-common-countries,Baghdad,Iraq,Athens,Greece
44,capital-common-countries,Bangkok,Thailand,Beijing,China
45,capital-common-countries,Bangkok,Thailand,Berlin,Germany
46,capital-common-countries,Bangkok,Thailand,Bern,Switzerland
47,capital-common-countries,Bangkok,Thailand,Cairo,Egypt
