,word1,word2,similarity
0,Wille,intención,3.04
1,Tunnel,camino,1.29
2,statistisches Mass,esperanza de vida,1.63
3,Nihilismus,película,0.04
4,Paul die Krake,pulpo,3.13
5,BIP,recesión,1.21
6,Zink,oro,2.88
7,Eis,nieve,3.08
8,Times,Guardian,3.17
9,Knopf,máquina de coser,1.38
10,Clinton,Obama,3.04
11,Fernunterricht,Internet,1.29
12,Wirtschaftskrise,PIB,1.21
13,Lampe,genio,1.0
14,Suffix,afijo,3.21
15,Biologie,biotopo,1.54
16,Wassersport,surf,3.08
17,Steuerknüppel,radar,0.8
18,Matrix,vector,2.83
19,Flasche,lata,2.79
20,Provirus,membrana plasmática,1.33
21,Zahn,martillo,0.0
22,Sessel,taburete,3.08
23,Lawine,nieve,2.29
24,Flaggenkunde,bandera,2.21
25,Rahmen,golpe,0.0
26,Polyeder,actor,0.21
27,Serienmörder,asesino,3.58
28,Helligkeit,estrella,0.96
29,Universität,campus,2.67
30,Base,ácido,2.92
31,Affix,sufijo,3.21
32,Raumschiff,Julio,0.21
33,Galaxie,astrónomo,1.42
34,Pistole,cuaderno,0.09
35,Papiergeld,sacerdote,0.0
36,Arbeit,herramienta,0.92
37,Diener,esclavo,3.21
38,Einkommen,calidad de vida,1.75
39,Medaille,zapatillas,0.21
40,Paracetamol,bronquitis,0.88
41,Microsoft,Celsius,0.0
42,Schlüssel,corona,0.25
43,Gouverneur,emperador,2.79
44,Schüler,profesor,2.54
45,Delta,mar,1.88
46,Aristoteles,Platón,3.17
47,Renner,atleta,3.13
48,Insel,península,2.96
49,Verfassung,senado,1.08
50,Simulation,robótica,1.5
51,Amerikanisch,inglés,3.25
52,Gold,zinc,2.88
53,fossiler Brennstoff,fósil,1.83
54,Energie,batería,2.25
55,Nietzsche,Chelsea,0.0
56,Buch,accidente,0.04
57,Verhandlung,diplomacia,2.67
58,Diplomatie,negociación,2.67
59,Ban Ki-moon,Naciones Unidas,2.17
60,Zivilisation,estilo de vida,1.54
61,Staubblatt,polinización,2.21
62,Elektrolokomotive,Siemens,1.42
63,Kloster,ducha,0.04
64,Wolke,ventana,0.5
65,Umschlag,decoración,0.29
66,Mozilla Firefox,navegador web,3.25
67,Matrix,molécula,0.41
68,Musik,flauta,1.88
69,Kanonboot,costa,0.92
70,Flagge,vexilología,2.21
71,Ball,esfera,2.58
72,Tal,depresión,2.75
73,Flughafen,pieza,0.04
74,Zauberer,Harry Potter,3.13
75,Islamophobie,EI,1.58
76,Trainer,jugador,2.54
77,Schulden,préstamo bancario,2.42
78,Jasminreis,basmati,3.33
79,Wachstumshormon,somatotropina,3.79
80,Problem,trastorno bipolar,1.71
81,politische Partei,asociación,2.46
82,Radiator,sensor,0.83
83,Erdbeere,cereza,3.13
84,Nähmaschine,botón,1.38
85,schwarzes Loch,vacío,1.13
86,Chef,director,3.04
87,Schmetterling,rosa,1.04
88,CO2,dióxido de carbono,4.0
89,Strasse,Spider-Man,0.09
90,Autobahn,carretera,3.38
91,Mönch,cruz,1.5
92,Kohlendioxid,CO2,4.0
93,Halbinsel,isla,2.96
94,Vereinte Nationen,Ban Ki-moon,2.17
95,Charakter,persona,2.79
96,Theater,batería,0.0
97,Jupiter,Mercurio,3.29
98,Faraday-Konstante,mochila,0.0
99,Roman,escritor,1.92
100,System,falla,0.45
101,Lehrer,estudiante,2.54
102,Soldat,paz,0.71
103,Mineralwasser,chaqueta,0.0
104,Unteroffizier,pistola,1.0
105,Springen,valla,1.0
106,Bayern München,Juventus,3.04
107,Viereck,mapa,0.88
108,Eiscreme,desayuno,0.88
109,Wurm,malware,2.88
110,Flugzeug,helicóptero,3.08
111,Coke,Coca Cola,3.79
112,Bruder,hermana,3.25
113,Nachrichten,editorial,2.58
114,Spritzer,viscosidad,1.0
115,Mosaik,basílica,1.42
116,Windhose,tifón,3.38
117,Deutsche Bank,FMI,2.42
118,Fussball,fútbol,3.83
