,word1,word2,similarity
0,Zug,تراموا,3.21
1,Obama,کلینتون,3.17
2,Jeans,زن,0.58
3,Spider-Man,خیابان,0.09
4,Latein,آلمانی,3.0
5,Zahn,چکش,0.17
6,Wurzel,یونیسف,0.08
7,Mercedes,اوپل,3.08
8,Monarchie,دموکراسی,2.88
9,Staub,جارو,1.83
10,Ebola Virus,ابولا,3.92
11,Uniform,قلاب‌دوزی,0.45
12,chirurgischer Eingriff,درمان,2.79
13,Gold,روی,2.88
14,Verfassung,امپراتور,0.92
15,Geschenk,نویسنده,0.17
16,Englisch,آمریکایی,3.25
17,Soldat,صلح,1.21
18,Serienmörder,قاتل,3.42
19,Mühle,دانه,1.21
20,Lawine,برف,2.25
21,Feld,جو,2.0
22,Gmail,یاهو,2.92
23,Wallpaper,دیواربرگ,3.63
24,Fernseher,نمایشنامه‌نویس,1.21
25,absoluter Nullpunkt,بخار,0.42
26,Anthropologie,نیویورک,0.21
27,Zellmembran,پروویروس,1.04
28,Kapitel,بخش,3.46
29,Bildhauer,عمارت,0.88
30,Stift,الفبا,0.79
31,Wand,قلعه,1.67
32,Wall Street,بازار مالی,1.88
33,MS,اسکلروز چندگانه,4.0
34,Fabrik,طبقه کارگر,1.46
35,Windbö,باد,3.42
36,Wirtschaft,اکوسیستم,0.83
37,Galaxie,اپ,0.0
38,Jasminreis,باسماتی,3.33
39,Yahoo,جیمیل,2.92
40,Palast,آسمان‌خراش,2.54
41,Holz,سنگ,2.42
42,Kettenreaktion,ترمودینامیک,1.33
43,Kohlendioxid,گازکربنیک,3.83
44,Eroberer,اسکندرکبیر,2.54
45,Kalender,تعطیلات,1.92
46,Roboterauto,خودروی خودگردان,4.0
47,Hülle,بندرگاه,0.0
48,Europa,پیمان ماستریخت,1.67
49,Schlüssel,تاج‌,0.42
50,Eidechse,دولت,0.09
51,Künstler,اثر هنری,1.96
52,Programm,غذا,0.38
53,Coca-Cola,کوکا,3.86
54,Dickens,شکسپیر,3.04
55,Football,فوتبال,3.29
56,Alexander der Grosse,فاتح,2.54
57,Autobahn,جاده,3.25
58,Kampagne,میمون,0.0
59,Schlüssel,قفل,2.13
60,Chelsea,نیچه,0.0
61,Kaliber,چتر,0.0
62,Farbe,انقلاب سبز,0.17
63,Times,گاردین,3.08
64,Strategiespiel,استراتژی,1.96
65,Strategie,بازی استراتژیکی,1.96
66,Europäische Union,مسکو,1.92
67,Arbeiterklasse,کارخانه,1.46
68,Wasser,خشکسالی,2.13
69,Ausbilder,معلم,3.96
70,Pullover,پنبه,1.96
71,Landwirtschaft,گیاه,2.0
72,Hadoop,صفحه لمسی,0.75
73,Erreger,بیمارگر,3.83
74,Abwehr,نیروهای مسلح,1.75
75,Schläger,توپ,2.21
76,Somatropin,هورمون رشد,3.88
77,Butterbrot,ساب‌وی,1.88
78,Woody Allen,لنز,0.63
79,Fortsetzung,دوربین,0.33
80,Auto,دوچرخه,2.79
81,Molekül,ماتریس,0.54
82,Aktie,دارایی,1.83
83,Tradition,صنایع دستی,1.42
84,Pinsel,آبرنگ,1.96
85,Cricket,حامی,0.92
86,Historiker,تاریخ‌نگار,3.96
87,Faraday-Konstante,کوله‌پشتی,0.0
88,Vereinigung,حزب سیاسی,2.58
89,Darsteller,آهنگ,0.67
90,Strickgarn,رشته,3.13
91,Prinzessin,بیسکویت,0.0
92,Oscars,استادیوم,0.25
93,Tram,قطار,3.21
94,Innenstadt,اتوبوس,0.71
95,Mineralwasser,ژاکت,0.0
96,Theater,فیلم,2.58
97,Dusche,صومعه,0.0
98,Dingle,دل,0.08
99,Lehrer,دانش‌آموز,2.63
100,Grand Theft Auto,جی‌تی‌ای,3.83
101,Britannien,اچ‌اس‌بی‌سی,1.04
102,Säure,باز,2.92
103,Handwerk,سنت,1.42
104,Herrscher,پادشاه,3.67
105,Base,اسید,2.92
106,Aktienmarkt,بورس اوراق بهادار,3.42
107,Iris,استیل کولین,0.5
108,Wirtschaftskrise,تولید ناخالص داخلی,1.5
109,Mythos,طنز,0.46
110,Sitz,تلسکوپ,0.25
111,Vorschule,کودکستان,3.58
112,Elektrizität,جعبه,0.5
113,Hypothese,نظریه,3.25
114,Nummer,رقم,3.58
115,Nahrung,برنامه,0.38
116,Erdbeben,زلزله,3.75
117,Regenschirm,بخاری,0.29
118,Mobiltelefon,تلفن,3.45
119,Rückseite,دم,1.54
120,Sonnenuntergang,میز,0.0
121,Obstgarten,شترمرغ,0.25
122,Chef,مدیر,3.46
123,Cytoplasma,انگشت,0.41
124,Moskau,اتحادیه اروپا,1.92
125,Patient,جلسه,0.71
126,JPY,پولشویی,1.13
127,Rhythmus,شعر,2.08
128,Sonnett,زیبایی,1.25
129,Gehölz,تایگر وودز,0.17
130,Umtausch,پول,1.75
131,Politiker,پليس,2.08
132,Schuld,سامانه,0.25
133,Süssigkeiten,دارچین,1.29
134,McDonald's,کی‌اف‌سی,3.04
135,Neurose,ذهن,1.71
136,iPhone,اپل,2.5
137,Ampulle,تصویرسازی,0.0
138,Flasche,قوطی,2.63
139,Null,بینهایت,2.54
140,Schauspieler,تلویزیون,2.13
141,Schnee,یخ,2.96
142,Hamedan,رم,2.83
143,Zitrusfrucht,پرتقال,3.13
144,Rucksack,ثابت فارادی,0.0
145,Schachtel,منبع,0.29
146,Theorem,بولتسانو,1.75
147,Radiator,حسگر,0.58
148,Entropie,اطلاعات,1.92
149,Telefon,تلفن همراه,3.45
150,Löwenmäuler,شاه‌پسند,3.13
151,Herzog,جمهوری,0.92
152,Gehirn,ذهن,3.42
153,Zeichnung,شورش,0.04
154,Meisterwerk,مونالیزا,2.21
155,Aristoteles,افلاطون,3.29
156,Stein,برج‌ساعت,0.42
157,Kabel,جادوگر,0.0
158,Finanzmarkt,وال‌استریت,1.88
159,Frieden,سرباز,1.21
160,Verdächtiger,مرد,0.92
161,Dünger,رشد,1.67
162,Geige,گیتار,3.13
163,Bayern München,یوونتوس,3.13
164,Polyeder,بازیگر,0.21
165,Vereinte Nationen,پارلمان اروپا,2.21
166,Ausserirdischer,بیگانه,3.25
167,Flagge,پرچم انگلستان,2.79
168,Mochito,موخیتو,4.0
169,Person,شخصیت,2.75
170,Chaos,کلاس,0.21
171,Film,تئاتر,2.58
172,Cloudcomputing,باران,0.17
173,Spieler,مربی,2.75
174,Diener,غلام,3.33
175,Pandabär,خرس قطبی,3.23
176,Plato,ارسطو,3.29
177,Börse,بازار بورس,3.42
178,Asien,جهان,1.92
179,Juventus,بایرن‌مونیخ,3.13
180,Panzer,خودرو,2.63
181,Visa,جهانی‌گرایی,1.17
182,Film,فیلم سینمایی,3.54
183,Comicroman,کتاب کامیک,3.38
184,Vereinte Nationen,بان‌کی‌مون,2.13
185,Islamophobie,داعش,1.75
186,Fahnenstange,پرچم,1.75
187,JPEG,پی‌دی‌اف,2.71
188,Schadprogramm,کرم,2.96
189,Regisseur,رئيس,3.46
190,Renner,ورزشکار,3.04
191,Vermögen,موجودی کالا,1.83
192,Mona Lisa,شاهکار,2.21
193,Film,پوچ‌گرایی,0.21
