,word1,word2,similarity
0,sun-n,sunlight-n,50.000000
1,automobile-n,car-n,50.000000
2,river-n,water-n,49.000000
3,stair-n,staircase-n,49.000000
4,morning-n,sunrise-n,49.000000
5,rain-n,storm-n,49.000000
6,cat-n,kitten-n,49.000000
7,dance-n,dancer-n,49.000000
8,camera-n,photography-n,49.000000
9,cat-n,feline-j,48.000000
10,sunny-j,sunshine-n,48.000000
11,pregnancy-n,pregnant-j,48.000000
12,beach-n,sand-n,48.000000
13,bakery-n,bread-n,48.000000
14,flower-n,garden-n,48.000000
15,grass-n,lawn-n,48.000000
16,copper-n,metal-n,48.000000
17,photo-n,photography-n,47.000000
18,cemetery-n,graveyard-n,47.000000
19,gravestone-n,graveyard-n,47.000000
20,sun-n,sunshine-n,47.000000
21,black-j,dark-j,47.000000
22,cathedral-n,church-n,47.000000
23,frozen-j,ice-n,47.000000
24,station-n,subway-n,47.000000
25,child-n,kid-n,46.000000
26,aquarium-n,fish-n,46.000000
27,light-n,lighting-n,46.000000
28,fungus-n,mushroom-n,46.000000
29,frost-n,snow-n,46.000000
30,burn-v,flame-n,46.000000
31,ocean-n,sea-n,46.000000
32,candy-n,chocolate-n,46.000000
33,car-n,vehicle-n,46.000000
34,concert-n,music-n,46.000000
35,photo-n,picture-n,46.000000
36,grape-n,wine-n,46.000000
37,bath-n,bathroom-n,46.000000
38,bud-n,flower-n,46.000000
39,cat-n,kitty-n,46.000000
40,ocean-n,water-n,46.000000
41,aircraft-n,airplane-n,46.000000
42,butterfly-n,caterpillar-n,46.000000
43,hair-n,wig-n,46.000000
44,blossom-n,bud-n,46.000000
45,highway-n,road-n,46.000000
46,bunny-n,rabbit-n,46.000000
47,bread-n,sandwich-n,46.000000
48,mist-n,misty-j,46.000000
49,flower-n,petal-n,46.000000
50,airplane-n,flight-n,46.000000
51,fish-n,fishing-n,46.000000
52,ice-n,snow-n,46.000000
53,bright-j,sun-n,45.000000
54,shade-n,tree-n,45.000000
55,bicycle-n,bike-n,45.000000
56,truck-n,vehicle-n,45.000000
57,shore-n,water-n,45.000000
58,boat-n,fishing-n,45.000000
59,dog-n,puppy-n,45.000000
60,bride-n,wedding-n,45.000000
61,bird-n,hummingbird-n,45.000000
62,sea-n,water-n,45.000000
63,cow-n,milk-n,45.000000
64,bird-n,feather-n,45.000000
65,skate-n,skating-n,45.000000
66,chapel-n,church-n,45.000000
67,branch-n,twig-n,45.000000
68,concert-n,musician-n,45.000000
69,clothes-n,dress-n,45.000000
70,automobile-n,vehicle-n,45.000000
71,splash-n,swimming-n,45.000000
72,bed-n,furniture-n,45.000000
73,aircraft-n,flight-n,45.000000
74,reptile-n,snake-n,45.000000
75,motorcycle-n,scooter-n,45.000000
76,coffee-n,tea-n,45.000000
77,feather-n,goose-n,45.000000
78,pool-n,swimming-n,45.000000
79,eye-n,face-n,45.000000
80,dirt-n,dirty-j,45.000000
81,railway-n,train-n,45.000000
82,harbour-n,port-n,45.000000
83,fruit-n,strawberry-n,45.000000
84,flight-n,plane-n,45.000000
85,smoke-n,smoking-n,45.000000
86,ivy-n,plant-n,45.000000
87,river-n,stream-n,45.000000
88,lake-n,water-n,45.000000
89,kitten-n,kitty-n,45.000000
90,snow-n,snowman-n,45.000000
91,dog-n,terrier-n,45.000000
92,daffodil-n,flower-n,45.000000
93,pond-n,water-n,45.000000
94,show-n,television-n,44.000000
95,handwriting-n,write-v,44.000000
96,flood-n,water-n,44.000000
97,jazz-n,musician-n,44.000000
98,eagle-n,feather-n,44.000000
99,grape-n,vine-n,44.000000
100,bird-n,hawk-n,44.000000
101,clothes-n,outfit-n,44.000000
102,exhibition-n,museum-n,44.000000
103,hand-n,palm-n,44.000000
104,grave-n,graveyard-n,44.000000
105,berry-n,strawberry-n,44.000000
106,forest-n,oak-n,44.000000
107,crochet-n,knit-v,44.000000
108,bird-n,eagle-n,44.000000
109,canine-j,puppy-n,44.000000
110,bar-n,cocktail-n,44.000000
111,bar-n,pub-n,44.000000
112,sunlight-n,sunshine-n,44.000000
113,apple-n,fruit-n,44.000000
114,sun-n,sunrise-n,44.000000
115,gymnastics-n,sport-n,44.000000
116,sailing-n,ship-n,44.000000
117,beach-n,sea-n,44.000000
118,game-n,hockey-n,44.000000
119,bed-n,pillow-n,44.000000
120,daffodil-n,tulip-n,44.000000
121,flower-n,plant-n,44.000000
122,fire-n,smoke-n,44.000000
123,canine-j,dog-n,44.000000
124,bracelet-n,jewelry-n,44.000000
125,feline-j,kitty-n,44.000000
126,architecture-n,building-n,44.000000
127,shop-n,shopping-n,44.000000
128,highway-n,traffic-n,44.000000
129,lizard-n,reptile-n,44.000000
130,music-n,piano-n,44.000000
131,strawberry-n,sweet-j,44.000000
132,snow-n,winter-n,44.000000
133,autumn-n,spring-n,44.000000
134,bacon-n,meat-n,44.000000
135,raspberry-n,strawberry-n,44.000000
136,chipmunk-n,squirrel-n,44.000000
137,coast-n,harbor-n,44.000000
138,dress-n,skirt-n,44.000000
139,sun-n,sunny-j,44.000000
140,lily-n,tulip-n,44.000000
141,grave-n,gravestone-n,44.000000
142,bright-j,sunny-j,44.000000
143,dandelion-n,plant-n,44.000000
144,light-n,sunlight-n,44.000000
145,hill-n,mountain-n,43.000000
146,burger-n,food-n,43.000000
147,sea-n,shore-n,43.000000
148,feather-n,peacock-n,43.000000
149,child-n,mother-n,43.000000
150,night-n,sunset-n,43.000000
151,orange-j,peel-n,43.000000
152,subway-n,train-n,43.000000
153,camera-n,lens-n,43.000000
154,daisy-n,petal-n,43.000000
155,aircraft-n,wing-n,43.000000
156,bloom-n,flower-n,43.000000
157,clothes-n,jacket-n,43.000000
158,dinner-n,restaurant-n,43.000000
159,swim-v,swimming-n,43.000000
160,cemetery-n,gravestone-n,43.000000
161,cigarette-n,smoke-n,43.000000
162,shirt-n,skirt-n,43.000000
163,baby-n,pregnant-j,43.000000
164,cherry-n,fruit-n,43.000000
165,beef-n,meat-n,43.000000
166,blossom-n,daffodil-n,43.000000
167,bloom-n,blossom-n,43.000000
168,maple-n,oak-n,43.000000
169,frost-n,winter-n,43.000000
170,colour-n,pink-j,43.000000
171,dog-n,poodle-n,43.000000
172,lantern-n,light-n,43.000000
173,coast-n,sea-n,43.000000
174,tunnel-n,underground-j,43.000000
175,dog-n,pet-n,43.000000
176,hair-n,haircut-n,43.000000
177,day-n,sunset-n,43.000000
178,bikini-n,swimsuit-n,43.000000
179,rail-n,railway-n,43.000000
180,art-n,museum-n,43.000000
181,painting-n,portrait-n,43.000000
182,dress-n,wedding-n,43.000000
183,poodle-n,puppy-n,43.000000
184,port-n,ship-n,43.000000
185,bloom-n,tulip-n,43.000000
186,cold-j,winter-n,43.000000
187,bakery-n,cake-n,43.000000
188,building-n,roof-n,43.000000
189,iron-n,steel-n,43.000000
190,bird-n,stork-n,43.000000
191,lily-n,plant-n,43.000000
192,eat-v,food-n,43.000000
193,bathroom-n,kitchen-n,43.000000
194,jazz-n,music-n,43.000000
195,fabric-n,wool-n,43.000000
196,aquarium-n,tank-n,43.000000
197,fire-n,flame-n,43.000000
198,bloom-n,rose-n,43.000000
199,leaf-n,nature-n,43.000000
200,town-n,village-n,43.000000
201,apple-n,orange-j,43.000000
202,dawn-n,sunrise-n,43.000000
203,engine-n,gasoline-n,43.000000
204,oak-n,tree-n,43.000000
205,guitar-n,piano-n,43.000000
206,chocolate-n,dessert-n,43.000000
207,cat-n,paw-n,43.000000
208,bird-n,goose-n,43.000000
209,blue-j,sky-n,43.000000
210,pool-n,swim-v,43.000000
211,bracelet-n,necklace-n,42.000000
212,fruit-n,salad-n,42.000000
213,egg-n,nest-n,42.000000
214,boat-n,sailing-n,42.000000
215,bird-n,crow-n,42.000000
216,bird-n,flamingo-n,42.000000
217,day-n,sunshine-n,42.000000
218,hockey-n,sport-n,42.000000
219,burger-n,eat-v,42.000000
220,fruit-n,raspberry-n,42.000000
221,lunch-n,sandwich-n,42.000000
222,foot-n,toe-n,42.000000
223,baby-n,mother-n,42.000000
224,amphibian-n,frog-n,42.000000
225,burn-v,fire-n,42.000000
226,hockey-n,ice-n,42.000000
227,cold-j,frozen-j,42.000000
228,oak-n,wood-n,42.000000
229,photographer-n,photography-n,42.000000
230,man-n,woman-n,42.000000
231,hair-n,redhead-n,42.000000
232,harbor-n,port-n,42.000000
233,pug-n,puppy-n,42.000000
234,sunrise-n,sunset-n,42.000000
235,leather-n,shoe-n,42.000000
236,beach-n,shore-n,42.000000
237,color-n,red-j,42.000000
238,paint-v,painting-n,42.000000
239,storm-n,wind-n,42.000000
240,color-n,violet-n,42.000000
241,rain-n,wet-j,42.000000
242,diner-n,eat-v,42.000000
243,bed-n,bedroom-n,42.000000
244,guitar-n,musician-n,42.000000
245,petal-n,rose-n,42.000000
246,rail-n,subway-n,42.000000
247,holiday-n,vacation-n,42.000000
248,bed-n,sleep-v,42.000000
249,cigarette-n,smoking-n,42.000000
250,airplane-n,plane-n,42.000000
251,daffodil-n,plant-n,42.000000
252,diner-n,kitchen-n,42.000000
253,coin-n,silver-n,42.000000
254,cake-n,chocolate-n,42.000000
255,evening-n,night-n,42.000000
256,race-n,racing-n,42.000000
257,flight-n,fly-v,42.000000
258,face-n,lip-n,42.000000
259,berry-n,raspberry-n,42.000000
260,lamp-n,light-n,42.000000
261,bird-n,nest-n,42.000000
262,mother-n,pregnant-j,42.000000
263,animal-n,pet-n,42.000000
264,butterfly-n,insect-n,42.000000
265,sky-n,sunrise-n,42.000000
266,canine-j,husky-n,42.000000
267,food-n,meat-n,42.000000
268,cloud-n,sky-n,42.000000
269,crow-n,feather-n,42.000000
270,blossom-n,flower-n,42.000000
271,splash-n,swim-v,42.000000
272,band-n,musician-n,42.000000
273,cactus-n,plant-n,42.000000
274,eagle-n,hawk-n,42.000000
275,harbour-n,sea-n,42.000000
276,flower-n,foliage-n,42.000000
277,red-j,violet-n,42.000000
278,music-n,sing-v,42.000000
279,breakfast-n,morning-n,42.000000
280,cafe-n,restaurant-n,42.000000
281,beach-n,coast-n,42.000000
282,puddle-n,splash-n,42.000000
283,bird-n,pelican-n,42.000000
284,clothes-n,sock-n,42.000000
285,amphibian-n,lizard-n,41.000000
286,daughter-n,son-n,41.000000
287,car-n,motor-n,41.000000
288,amphibian-n,reptile-n,41.000000
289,day-n,morning-n,41.000000
290,aircraft-n,fly-v,41.000000
291,airplane-n,airport-n,41.000000
292,metro-n,train-n,41.000000
293,band-n,music-n,41.000000
294,shadow-n,sunlight-n,41.000000
295,night-n,sleep-v,41.000000
296,salad-n,soup-n,41.000000
297,porch-n,roof-n,41.000000
298,eye-n,tear-n,41.000000
299,colour-n,rainbow-n,41.000000
300,berry-n,fruit-n,41.000000
301,red-j,yellow-j,41.000000
302,sock-n,stocking-n,41.000000
303,flamingo-n,hummingbird-n,41.000000
304,tree-n,twig-n,41.000000
305,kiss-n,lip-n,41.000000
306,burger-n,sandwich-n,41.000000
307,pregnant-j,woman-n,41.000000
308,rain-n,weather-n,41.000000
309,dinner-n,eat-v,41.000000
310,feather-n,hawk-n,41.000000
311,animal-n,zoo-n,41.000000
312,duck-n,mallard-n,41.000000
313,mountain-n,valley-n,41.000000
314,beach-n,harbour-n,41.000000
315,musician-n,rock-n,41.000000
316,band-n,guitar-n,41.000000
317,car-n,garage-n,41.000000
318,foot-n,leg-n,41.000000
319,sky-n,sunlight-n,41.000000
320,mist-n,rain-n,41.000000
321,mother-n,son-n,41.000000
322,airplane-n,wing-n,41.000000
323,colour-n,red-j,41.000000
324,music-n,musician-n,41.000000
325,bay-n,beach-n,41.000000
326,blonde-j,redhead-n,41.000000
327,petal-n,plant-n,41.000000
328,kitchen-n,room-n,41.000000
329,lingerie-n,sexy-j,41.000000
330,automobile-n,parking-n,41.000000
331,bar-n,restaurant-n,41.000000
332,bedroom-n,room-n,41.000000
333,bus-n,taxi-n,41.000000
334,fun-n,happy-j,41.000000
335,station-n,train-n,41.000000
336,pelican-n,stork-n,41.000000
337,black-j,grey-j,41.000000
338,orange-j,yellow-j,41.000000
339,foliage-n,petal-n,41.000000
340,park-n,parking-n,41.000000
341,lip-n,tongue-n,41.000000
342,fog-n,misty-j,41.000000
343,canine-j,poodle-n,41.000000
344,bath-n,wash-v,41.000000
345,foliage-n,tree-n,41.000000
346,panorama-n,view-n,41.000000
347,bloom-n,daisy-n,41.000000
348,escalator-n,stair-n,41.000000
349,petal-n,tulip-n,41.000000
350,fishing-n,sea-n,41.000000
351,beef-n,cattle-n,41.000000
352,noodle-n,rice-n,41.000000
353,bird-n,parrot-n,41.000000
354,fruit-n,orange-j,41.000000
355,mural-n,painting-n,41.000000
356,airport-n,flight-n,41.000000
357,shopping-n,store-n,41.000000
358,summer-n,sunny-j,41.000000
359,road-n,sidewalk-n,41.000000
360,airplane-n,fly-v,41.000000
361,guitar-n,music-n,40.000000
362,cat-n,whisker-n,40.000000
363,family-n,friend-n,40.000000
364,bloom-n,petal-n,40.000000
365,musician-n,piano-n,40.000000
366,dirty-j,wash-v,40.000000
367,elephant-n,giraffe-n,40.000000
368,puppy-n,terrier-n,40.000000
369,breakfast-n,kitchen-n,40.000000
370,subway-n,underground-j,40.000000
371,sand-n,shore-n,40.000000
372,butterfly-n,dragonfly-n,40.000000
373,cheetah-n,lion-n,40.000000
374,color-n,yellow-j,40.000000
375,door-n,lock-v,40.000000
376,bright-j,sunlight-n,40.000000
377,van-n,vehicle-n,40.000000
378,orange-j,red-j,40.000000
379,beetle-n,insect-n,40.000000
380,kid-n,mom-n,40.000000
381,daughter-n,mother-n,40.000000
382,child-n,school-n,40.000000
383,giraffe-n,zebra-n,40.000000
384,harbor-n,harbour-n,40.000000
385,lamb-n,sheep-n,40.000000
386,heart-n,love-n,40.000000
387,lily-n,rose-n,40.000000
388,asphalt-n,road-n,40.000000
389,morning-n,sunny-j,40.000000
390,coast-n,shore-n,40.000000
391,sunny-j,sunset-n,40.000000
392,nest-n,twig-n,40.000000
393,happy-j,smile-n,40.000000
394,figure-n,skating-n,40.000000
395,rail-n,train-n,40.000000
396,door-n,wall-n,40.000000
397,dawn-n,sun-n,40.000000
398,feather-n,stork-n,40.000000
399,morning-n,sunshine-n,40.000000
400,building-n,construction-n,40.000000
401,cafe-n,coffee-n,40.000000
402,bloom-n,bud-n,40.000000
403,jacket-n,leather-n,40.000000
404,map-n,travel-n,40.000000
405,plant-n,seed-n,40.000000
406,city-n,metro-n,40.000000
407,pebble-n,sand-n,40.000000
408,cafe-n,lunch-n,40.000000
409,coast-n,harbour-n,40.000000
410,dog-n,pug-n,40.000000
411,sky-n,sun-n,40.000000
412,mallard-n,swan-n,40.000000
413,cloud-n,rain-n,40.000000
414,sky-n,sunshine-n,40.000000
415,frost-n,weather-n,40.000000
416,cherry-n,raspberry-n,40.000000
417,downtown-j,street-n,40.000000
418,bloom-n,dandelion-n,40.000000
419,dragonfly-n,insect-n,40.000000
420,bottle-n,wine-n,40.000000
421,feel-v,happy-j,40.000000
422,railway-n,station-n,40.000000
423,beach-n,swimming-n,40.000000
424,cafe-n,diner-n,40.000000
425,cafe-n,pub-n,40.000000
426,building-n,tall-j,40.000000
427,burger-n,meat-n,40.000000
428,gold-n,silver-n,40.000000
429,summer-n,weather-n,40.000000
430,military-j,soldier-n,40.000000
431,cemetery-n,grave-n,40.000000
432,pizza-n,restaurant-n,39.000000
433,bright-j,colour-n,39.000000
434,canine-j,paw-n,39.000000
435,swim-v,underwater-j,39.000000
436,sea-n,swim-v,39.000000
437,pub-n,restaurant-n,39.000000
438,day-n,time-n,39.000000
439,canine-j,terrier-n,39.000000
440,bottle-n,glass-n,39.000000
441,bed-n,relax-v,39.000000
442,seed-n,sunflower-n,39.000000
443,bird-n,owl-n,39.000000
444,art-n,sculpture-n,39.000000
445,light-n,shade-n,39.000000
446,apartment-n,staircase-n,39.000000
447,outfit-n,sock-n,39.000000
448,carrot-n,potato-n,39.000000
449,lizard-n,snake-n,39.000000
450,city-n,sidewalk-n,39.000000
451,guitar-n,rock-n,39.000000
452,brick-n,building-n,39.000000
453,eat-v,soup-n,39.000000
454,dew-n,misty-j,39.000000
455,blue-j,colour-n,39.000000
456,dawn-n,morning-n,39.000000
457,cooking-n,restaurant-n,39.000000
458,bay-n,sea-n,39.000000
459,cafe-n,shop-n,39.000000
460,floor-n,roof-n,39.000000
461,clothes-n,hat-n,39.000000
462,marble-n,stone-n,39.000000
463,duck-n,goose-n,39.000000
464,collection-n,museum-n,39.000000
465,happy-j,love-n,39.000000
466,bakery-n,shop-n,39.000000
467,mist-n,wet-j,39.000000
468,blossom-n,petal-n,39.000000
469,bright-j,light-n,39.000000
470,rice-n,sushi-n,39.000000
471,cooking-n,meat-n,39.000000
472,day-n,night-n,39.000000
473,kiss-n,love-n,39.000000
474,stream-n,waterfall-n,39.000000
475,interior-n,room-n,39.000000
476,surf-n,surfer-n,39.000000
477,poodle-n,terrier-n,39.000000
478,cold-j,frost-n,39.000000
479,city-n,town-n,39.000000
480,ocean-n,underwater-j,39.000000
481,harbor-n,sailing-n,39.000000
482,scenery-n,sunset-n,39.000000
483,green-j,violet-n,39.000000
484,harbor-n,ship-n,39.000000
485,summer-n,sunshine-n,39.000000
486,blue-j,grey-j,39.000000
487,art-n,graphic-j,39.000000
488,lake-n,shore-n,39.000000
489,rust-n,rusty-j,39.000000
490,architecture-n,design-n,39.000000
491,goose-n,swan-n,39.000000
492,architecture-n,construction-n,39.000000
493,hawk-n,nest-n,39.000000
494,carrot-n,salad-n,39.000000
495,fruit-n,tomato-n,39.000000
496,purple-j,violet-n,39.000000
497,misty-j,rain-n,39.000000
498,clothes-n,jean-n,39.000000
499,bloom-n,daffodil-n,39.000000
500,brick-n,construction-n,39.000000
501,diner-n,restaurant-n,39.000000
502,ceiling-n,roof-n,39.000000
503,paint-v,portrait-n,39.000000
504,ripple-n,wave-n,39.000000
505,beard-n,face-n,39.000000
506,apple-n,raspberry-n,39.000000
507,fashion-n,outfit-n,39.000000
508,downtown-j,skyscraper-n,39.000000
509,bud-n,daffodil-n,39.000000
510,harbor-n,shore-n,39.000000
511,blonde-j,hair-n,39.000000
512,kitten-n,paw-n,39.000000
513,bay-n,shore-n,39.000000
514,shop-n,store-n,39.000000
515,gravestone-n,memorial-n,38.000000
516,canine-j,pug-n,38.000000
517,crow-n,hawk-n,38.000000
518,dress-n,outfit-n,38.000000
519,city-n,urban-j,38.000000
520,bedroom-n,door-n,38.000000
521,bus-n,tram-n,38.000000
522,spring-n,summer-n,38.000000
523,scenery-n,waterfall-n,38.000000
524,road-n,traffic-n,38.000000
525,hill-n,valley-n,38.000000
526,ceiling-n,floor-n,38.000000
527,splash-n,water-n,38.000000
528,grass-n,weed-n,38.000000
529,sunny-j,weather-n,38.000000
530,parrot-n,wing-n,38.000000
531,daisy-n,violet-n,38.000000
532,copper-n,silver-n,38.000000
533,baseball-n,hockey-n,38.000000
534,pet-n,poodle-n,38.000000
535,blossom-n,foliage-n,38.000000
536,pink-j,purple-j,38.000000
537,grey-j,shade-n,38.000000
538,panorama-n,scenery-n,38.000000
539,downtown-j,metro-n,38.000000
540,beard-n,hair-n,38.000000
541,dandelion-n,petal-n,38.000000
542,blue-j,violet-n,38.000000
543,daisy-n,flower-n,38.000000
544,noodle-n,soup-n,38.000000
545,pet-n,puppy-n,38.000000
546,bud-n,petal-n,38.000000
547,ancient-j,ruin-n,38.000000
548,eye-n,iris-n,38.000000
549,puddle-n,water-n,38.000000
550,harbor-n,sea-n,38.000000
551,painting-n,sculpture-n,38.000000
552,sand-n,sea-n,38.000000
553,feline-j,kitten-n,38.000000
554,bird-n,swan-n,38.000000
555,baseball-n,game-n,38.000000
556,colour-n,purple-j,38.000000
557,pool-n,splash-n,38.000000
558,cattle-n,sheep-n,38.000000
559,landscape-n,scenery-n,38.000000
560,coin-n,gold-n,38.000000
561,boat-n,shore-n,38.000000
562,skyscraper-n,tall-j,38.000000
563,apple-n,cherry-n,38.000000
564,beef-n,chicken-n,38.000000
565,hot-j,sunny-j,38.000000
566,dessert-n,fruit-n,38.000000
567,photographer-n,portrait-n,38.000000
568,chicken-n,meat-n,38.000000
569,ceiling-n,interior-n,38.000000
570,bathroom-n,bedroom-n,38.000000
571,hummingbird-n,stork-n,38.000000
572,motor-n,vehicle-n,38.000000
573,colour-n,grey-j,38.000000
574,blue-j,orange-j,38.000000
575,dawn-n,dusk-n,38.000000
576,building-n,downtown-j,38.000000
577,face-n,tear-n,38.000000
578,boat-n,harbour-n,38.000000
579,cattle-n,farm-n,38.000000
580,drip-v,wet-j,38.000000
581,brown-j,green-j,38.000000
582,bedroom-n,ceiling-n,38.000000
583,bread-n,eat-v,38.000000
584,dinner-n,evening-n,38.000000
585,face-n,smile-n,38.000000
586,bride-n,dress-n,38.000000
587,stone-n,wall-n,38.000000
588,mural-n,paint-v,38.000000
589,foliage-n,plant-n,38.000000
590,day-n,dusk-n,38.000000
591,roof-n,wall-n,38.000000
592,cooking-n,food-n,38.000000
593,photography-n,portrait-n,38.000000
594,bud-n,foliage-n,38.000000
595,lily-n,pond-n,37.000000
596,harbour-n,shore-n,37.000000
597,palm-n,tree-n,37.000000
598,bus-n,subway-n,37.000000
599,holiday-n,travel-n,37.000000
600,skyline-n,view-n,37.000000
601,bedroom-n,cottage-n,37.000000
602,dinner-n,lunch-n,37.000000
603,grave-n,memorial-n,37.000000
604,dessert-n,sweet-j,37.000000
605,bird-n,insect-n,37.000000
606,concert-n,rock-n,37.000000
607,mushroom-n,tomato-n,37.000000
608,metro-n,railway-n,37.000000
609,giraffe-n,zoo-n,37.000000
610,railway-n,subway-n,37.000000
611,misty-j,weather-n,37.000000
612,parrot-n,pelican-n,37.000000
613,bedroom-n,sleep-v,37.000000
614,autumn-n,summer-n,37.000000
615,automobile-n,truck-n,37.000000
616,amphibian-n,mammal-n,37.000000
617,cemetery-n,memorial-n,37.000000
618,orange-j,purple-j,37.000000
619,blue-j,color-n,37.000000
620,daffodil-n,rose-n,37.000000
621,berry-n,seed-n,37.000000
622,hummingbird-n,mallard-n,37.000000
623,dandelion-n,grass-n,37.000000
624,brick-n,concrete-j,37.000000
625,costume-n,dress-n,37.000000
626,cloud-n,mist-n,37.000000
627,sea-n,tropical-j,37.000000
628,brown-j,grey-j,37.000000
629,bathroom-n,room-n,37.000000
630,daisy-n,plant-n,37.000000
631,paint-v,picture-n,37.000000
632,eye-n,lip-n,37.000000
633,autumn-n,winter-n,37.000000
634,drip-v,rain-n,37.000000
635,horizon-n,sky-n,37.000000
636,black-j,blue-j,37.000000
637,metro-n,station-n,37.000000
638,alley-n,street-n,37.000000
639,child-n,family-n,37.000000
640,mountain-n,scenery-n,37.000000
641,concrete-j,construction-n,37.000000
642,mill-n,windmill-n,37.000000
643,summer-n,winter-n,37.000000
644,plant-n,twig-n,37.000000
645,breakfast-n,lunch-n,37.000000
646,concrete-j,floor-n,37.000000
647,rain-n,sky-n,37.000000
648,food-n,frozen-j,37.000000
649,moss-n,plant-n,37.000000
650,flower-n,spring-n,37.000000
651,bird-n,mallard-n,37.000000
652,graphic-j,illustration-n,37.000000
653,eat-v,fruit-n,37.000000
654,ceiling-n,porch-n,37.000000
655,river-n,valley-n,37.000000
656,fog-n,mist-n,37.000000
657,dude-n,guy-n,37.000000
658,moon-n,sky-n,37.000000
659,bar-n,sushi-n,37.000000
660,beauty-n,scenery-n,37.000000
661,feather-n,mallard-n,37.000000
662,furniture-n,patio-n,37.000000
663,light-n,shadow-n,37.000000
664,bay-n,harbour-n,37.000000
665,wash-v,water-n,37.000000
666,flight-n,owl-n,37.000000
667,paw-n,whisker-n,37.000000
668,costume-n,wig-n,37.000000
669,animal-n,giraffe-n,37.000000
670,autumn-n,foliage-n,37.000000
671,animal-n,cattle-n,37.000000
672,building-n,skyscraper-n,37.000000
673,ice-n,skating-n,37.000000
674,meat-n,potato-n,37.000000
675,bud-n,twig-n,37.000000
676,knit-v,stitch-n,37.000000
677,hot-j,sunshine-n,37.000000
678,bed-n,room-n,37.000000
679,music-n,rock-n,37.000000
680,cooking-n,rice-n,37.000000
681,berry-n,cherry-n,37.000000
682,piano-n,play-v,37.000000
683,flower-n,lily-n,37.000000
684,cherry-n,strawberry-n,37.000000
685,clothes-n,skirt-n,37.000000
686,art-n,painting-n,37.000000
687,bird-n,gull-n,37.000000
688,spiral-n,staircase-n,37.000000
689,paw-n,pet-n,37.000000
690,feather-n,nest-n,37.000000
691,feather-n,owl-n,37.000000
692,blossom-n,cherry-n,37.000000
693,goat-n,sheep-n,37.000000
694,green-j,pink-j,37.000000
695,foliage-n,garden-n,37.000000
696,dog-n,husky-n,37.000000
697,feather-n,hummingbird-n,37.000000
698,sunshine-n,weather-n,37.000000
699,snow-n,weather-n,37.000000
700,surfer-n,wave-n,37.000000
701,breakfast-n,dinner-n,37.000000
702,shoe-n,toe-n,37.000000
703,band-n,play-v,37.000000
704,coffee-n,mug-n,37.000000
705,brick-n,wall-n,37.000000
706,fishing-n,sailing-n,37.000000
707,grey-j,white-j,37.000000
708,orange-j,strawberry-n,37.000000
709,color-n,purple-j,37.000000
710,blossom-n,daisy-n,37.000000
711,hawk-n,owl-n,37.000000
712,exhibition-n,photography-n,37.000000
713,morning-n,night-n,37.000000
714,band-n,concert-n,37.000000
715,dress-n,shirt-n,37.000000
716,river-n,waterfall-n,37.000000
717,ceramic-j,tile-n,36.000000
718,cloud-n,droplet-n,36.000000
719,exhibition-n,sculpture-n,36.000000
720,oak-n,twig-n,36.000000
721,movie-n,television-n,36.000000
722,butterfly-n,hummingbird-n,36.000000
723,daisy-n,grass-n,36.000000
724,floor-n,marble-n,36.000000
725,canyon-n,river-n,36.000000
726,decoration-n,interior-n,36.000000
727,flamingo-n,stork-n,36.000000
728,bear-v,mother-n,36.000000
729,moon-n,sun-n,36.000000
730,musician-n,sing-v,36.000000
731,green-j,red-j,36.000000
732,purple-j,white-j,36.000000
733,canine-j,pet-n,36.000000
734,morning-n,sleep-v,36.000000
735,weather-n,winter-n,36.000000
736,sky-n,sunny-j,36.000000
737,jacket-n,sock-n,36.000000
738,blue-j,red-j,36.000000
739,green-j,grey-j,36.000000
740,lily-n,petal-n,36.000000
741,blue-j,purple-j,36.000000
742,goose-n,mallard-n,36.000000
743,hotel-n,restaurant-n,36.000000
744,downtown-j,urban-j,36.000000
745,jean-n,skirt-n,36.000000
746,guy-n,people-n,36.000000
747,birthday-n,happy-j,36.000000
748,chicken-n,soup-n,36.000000
749,fly-v,wing-n,36.000000
750,door-n,room-n,36.000000
751,skyline-n,skyscraper-n,36.000000
752,cheetah-n,giraffe-n,36.000000
753,feline-j,pet-n,36.000000
754,car-n,parking-n,36.000000
755,gull-n,mallard-n,36.000000
756,spring-n,winter-n,36.000000
757,daffodil-n,spring-n,36.000000
758,building-n,skyline-n,36.000000
759,salad-n,tomato-n,36.000000
760,book-n,write-v,36.000000
761,bucket-n,water-n,36.000000
762,lady-n,sexy-j,36.000000
763,ceiling-n,room-n,36.000000
764,puddle-n,rain-n,36.000000
765,costume-n,outfit-n,36.000000
766,hill-n,scenery-n,36.000000
767,bacon-n,chicken-n,36.000000
768,dawn-n,night-n,36.000000
769,cocktail-n,restaurant-n,36.000000
770,daffodil-n,petal-n,36.000000
771,canyon-n,valley-n,36.000000
