,similarity,word1,word2
0,7.62,компьютер,клавиатура
1,8.46,иерусалим,израиль
2,8.11,планета,галактика
3,7.53,каньон,пейзаж
4,5.63,опека,страна
5,3.94,день,лето
6,7.53,день,рассвет
7,7.31,страна,гражданин
8,5.75,планета,человек
9,8.81,среда,экология
10,8.62,марадон,футбол
11,8.59,опека,масло
12,8.5,деньга,банк
13,8.5,компьютер,программное обеспечение
14,8.38,закон,адвокат
15,8.34,погода,прогноз
16,8.31,сеть,оборудование
17,8.31,природа,среда
18,8.31,фбр,расследование
19,8.27,деньга,богатство
20,8.21,психология,фрейд
21,8.16,новость,отчёт
22,8.13,война,войско
23,8.12,физик,протон
24,8.12,банк,деньга
25,8.08,акция,рынок
26,8.06,планета,созвездие
27,8.06,кредит,карта
28,8.03,отель,бронирование
29,8.0,шкаф,одежда
30,7.94,мыло,опера
31,7.94,планета,астроном
32,7.92,планета,пространство
33,7.92,фильм,театр
34,7.91,лечение,восстановление
35,7.85,ребёнок,мать
36,7.73,деньга,депозит
37,7.72,телевизор,фильм
38,7.69,психология,ум
39,7.69,игра,команда
40,7.69,приём,билет
41,7.65,иерусалим,палестинский
42,7.65,арафат,террор
43,7.61,бокс,круглый
44,7.58,компьютер,интернет
45,7.57,деньга,собственность
46,7.56,теннис,ракетка
47,7.5,телефон,общение
48,7.5,валюта,рынок
49,7.48,психология,познание
50,7.47,морепродукт,мор
51,7.46,книга,бумага
52,7.46,книга,библиотека
53,7.42,психология,депрессия
54,7.41,бой,победить
55,7.38,фильм,звезда
56,7.38,сто,процент
57,7.38,доллар,прибыль
58,7.29,деньга,владение
59,7.25,кубок,пить
60,7.23,психология,здоровье
61,7.16,лето,засуха
62,7.13,инвестор,зарабатывать
63,7.08,компания,акция
64,7.03,инсульт,больница
65,7.03,ограниченной ответственность,страхование
66,7.03,игра,победа
67,7.0,психология,тревога
68,6.97,игра,поражение
69,6.94,фбр,отпечатков палец
70,6.88,деньга,вывод
71,6.85,психология,страх
72,6.85,препарат,злоупотребление
73,6.81,концерт,виртуоз
74,6.78,компьютер,лаборатория
75,6.77,любовь,секс
76,6.75,проблема,вызов
77,6.73,фильм,критик
78,6.73,арафат,мир
79,6.72,кровать,шкаф
80,6.69,адвокат,доказательство
81,6.69,рождаемость,яйцо
82,6.65,прецедент,закон
83,6.63,министр,участник
84,6.58,психология,клиника
85,6.58,кубок,кофе
86,6.56,вода,утечка
87,6.56,правительство,кризис
88,6.53,пространство,мир
89,6.48,дивиденд,расчёт
90,6.47,жертва,чрезвычайный
91,6.47,роскошный,автомобиль
92,6.46,инструмент,реализация
93,6.44,конкурс,цена
94,6.42,психология,врач
95,6.41,гендерный,равенство
96,6.38,листинг,категория
97,6.34,видео,архив
98,6.34,масло,акция
99,6.34,губернатор,офис
100,6.34,открытие,пространство
101,6.31,запись,количество
102,6.27,брат,монах
103,6.25,производство,экипаж
104,6.25,природа,человек
105,6.25,семья,планирование
106,6.25,катастрофа,площадь
107,6.22,еда,подготовка
108,6.19,сохранение,мир
109,6.19,фильм,попкорн
110,6.19,любовник,ссора
111,6.19,игра,серия
112,6.09,доллар,потеря
113,6.06,оружие,секрет
114,6.03,душа,наводнение
115,6.0,регистрация,расположение
116,6.0,прибытие,отель
117,6.0,объявление,предупреждение
118,5.97,игра,круглый
119,5.97,бейсбол,сезон
120,5.96,пить,рота
121,5.94,жизнь,урок
122,5.94,продуктовый,деньга
123,5.94,энергия,кризис
124,5.91,причина,критерий
125,5.91,оборудование,производитель
126,5.9,кубок,жидкость
127,5.88,развёртывание,вывод
128,5.87,тигр,зоопарк
129,5.85,путешествие,автомобиль
130,5.65,деньга,отмывание
131,5.63,лето,природа
132,5.63,украшение,доблесть
133,5.63,марс,учёный
134,5.54,алкоголь,химия
135,5.47,инвалидность,смерть
136,5.44,изменение,отношение
137,5.41,расположение,проживание
138,5.34,территория,поверхность
139,5.31,размер,протуберанец
140,5.31,экспонат,сувенир
141,5.31,кредит,информация
142,5.28,территория,километр
143,5.25,смерть,строка
144,5.19,врач,ограниченной ответственность
145,5.16,беспристрастность,интерес
146,5.09,энергия,лаборатория
147,5.06,секретарь,сенат
148,5.03,смерть,заключённый
149,5.0,монах,оракул
150,5.0,кубок,еда
151,4.97,журнал,ассоциация
152,4.94,улица,ребёнок
153,4.94,автомобиль,рейс
154,4.88,пространство,химия
155,4.81,ситуация,заключение
156,4.75,слово,сходство
157,4.75,мир,план
158,4.75,потребитель,энергия
159,4.69,министерство,культура
160,4.62,умный,студент
161,4.59,расследование,усилие
162,4.56,изображение,поверхность
163,4.5,жизнь,термин
164,4.47,начать,матч
165,4.47,компьютер,новость
166,4.47,доска,рекомендация
167,4.46,хлопец,брат
168,4.38,наблюдение,архитектура
169,4.38,побережье,холм
170,4.25,развёртывание,отъезд
171,4.25,ориентир,индекс
172,4.25,попытка,мир
173,4.13,потребитель,уверенность
174,4.06,начать,год
175,4.06,фокус,жизнь
176,3.97,развитие,вопрос
177,3.91,театр,история
178,3.88,ситуация,изоляция
179,3.88,прибыль,предупреждение
180,3.88,сми,торговля
181,3.88,шанс,авторитет
182,3.85,прецедент,информация
183,3.78,архитектура,век
184,3.75,население,развитие
185,3.73,акция,жить
186,3.69,мир,атмосфера
187,3.69,мораль,брак
188,3.69,меньшинство,мир
189,3.69,атмосфера,пейзаж
190,3.63,отчёт,получить
191,3.63,музыка,проект
192,3.56,семь,серия
193,3.47,опыт,музыка
194,3.44,школа,центр
195,3.38,пять,месяц
196,3.38,объявление,производство
197,3.31,мораль,значение
198,3.31,деньга,операция
199,3.31,задержка,новость
200,3.25,губернатор,интервью
201,3.19,практика,учреждение
202,3.16,век,народ
203,3.15,побережье,лес
204,3.08,берег,лесна
205,3.04,пить,автомобиль
206,3.0,президент,медаль
207,3.0,предрассудок,признание
208,2.97,зритель,серийный
209,2.94,мир,страхование
210,2.94,марс,вода
211,2.88,сми,получить
212,2.81,прецедент,познание
213,2.75,объявление,усилие
214,2.69,линия,страхование
215,2.69,кран,реализация
216,2.65,пить,мать
217,2.63,опера,промышленность
218,2.56,волонтёр,девиз
219,2.56,листинг,близость
220,2.5,прецедент,коллекция
221,2.4,кубок,статья
222,2.38,знак,перерыв
223,2.38,проблема,аэропорт
224,2.31,причина,гипертония
225,2.25,направление,сочетание
226,2.22,в среда,новость
227,2.08,стекло,маг
228,2.08,кладбище,лесна
229,1.94,возможность,девушка
230,1.92,кубок,вещество
231,1.85,лес,кладбище
232,1.81,акция,яйцо
233,1.81,месяц,отель
234,1.81,энергия,секретарь
235,1.77,прецедент,группа
236,1.75,производство,поход
237,1.62,акция,телефон
238,1.62,святой,секс
239,1.31,акция,компакт-диск
240,1.31,пить,ухо
241,1.19,задержка,расизм
242,0.92,акция,жизнь
243,0.92,акция,ягуар
244,0.92,монах,раб
245,0.92,хлопец,мастер
246,0.88,сахар,подход
247,0.62,петух,путешествие
248,0.54,полдень,строка
249,0.54,аккорд,улыбка
250,0.31,профессор,огурец
251,0.23,король,капуста
252,,нэн,нэн
